Year,Country,Economic_Rank
1988,Switzerland,1
1988,Japan,2
1988,Sudan,3
1988,Sub-Saharan Africa (IDA & IBRD countries),3
1988,Sub-Saharan Africa,3
1988,Sub-Saharan Africa (excluding high income),3
1988,Suriname,3
1988,Jamaica,4
1988,Sweden,5
1988,OECD members,6
1988,Oman,6
1988,Denmark,7
1988,Dominica,8
1988,Dominican Republic,8
1988,Djibouti,8
1988,Early-demographic dividend,8
1988,Norway,9
1988,New Zealand,10
1988,Italy,12
1988,United Arab Emirates,13
1988,Australia,14
1988,New Caledonia,15
1988,Faroe Islands,16
1988,Fragile and conflict affected situations,16
1988,Fiji,16
1988,European Union,16
1988,Europe & Central Asia (excluding high income),17
1988,Caribbean small states,18
1988,Cameroon,18
1988,Central African Republic,18
1988,Cambodia,18
1988,United States,19
1988,Iceland,20
1988,Upper middle income,21
1988,Canada,22
1988,Finland,23
1988,IDA only,24
1988,IDA total,24
1988,Austria,25
1988,Qatar,26
1988,Israel,27
1988,Puerto Rico,28
1988,United Kingdom,29
1988,French Polynesia,30
1988,France,31
1988,Ireland,32
1988,Spain,33
1988,Ghana,34
1988,Bermuda,35
1988,Belize,35
1988,Benin,35
1988,Isle of Man,36
1988,Germany,37
1988,Belgium,38
1988,Netherlands,38
1988,St. Kitts and Nevis,39
1988,St. Vincent and the Grenadines,39
1988,Sri Lanka,39
1988,St. Lucia,39
1988,St. Martin (French part),39
1988,Cyprus,40
1988,Estonia,43
1988,Euro area,44
1988,Eritrea,44
1988,Europe & Central Asia (IDA & IBRD countries),44
1988,Ethiopia,44
1988,Eswatini,44
1988,Europe & Central Asia,44
1988,Curacao,45
1988,Late-demographic dividend,46
1988,"Korea, Dem. People's Rep.",46
1988,Kosovo,46
1988,Kyrgyz Republic,46
1988,Lao PDR,46
1988,Slovenia,48
1988,Latvia,49
1988,Solomon Islands,50
1988,Small states,50
1988,Honduras,51
1988,Guyana,51
1988,Haiti,51
1988,Heavily indebted poor countries (HIPC),51
1988,High income,51
1988,Bangladesh,52
1988,Kuwait,53
1988,Lithuania,54
1988,Latin America & Caribbean,56
1988,Latin America & Caribbean (excluding high income),57
1988,Latin America & the Caribbean (IDA & IBRD countries),57
1988,Least developed countries: UN classification,58
1988,Tajikistan,59
1988,Bahrain,60
1988,Cuba,61
1988,Croatia,62
1988,Lower middle income,63
1988,Low income,63
1988,Low & middle income,64
1988,Libya,64
1988,Sint Maarten (Dutch part),65
1988,Sierra Leone,66
1988,Brazil,67
1988,Singapore,68
1988,Montenegro,69
1988,British Virgin Islands,70
1988,Marshall Islands,71
1988,Mali,71
1988,Senegal,72
1988,Sao Tome and Principe,72
1988,Papua New Guinea,73
1988,Malta,74
1988,Saudi Arabia,75
1988,Poland,76
1988,Burkina Faso,77
1988,Burundi,77
1988,Cabo Verde,77
1988,Brunei Darussalam,77
1988,Bulgaria,78
1988,Panama,79
1988,Guatemala,80
1988,Guam,80
1988,Gibraltar,80
1988,Greenland,80
1988,Grenada,80
1988,Guinea-Bissau,80
1988,Guinea,80
1988,Bhutan,81
1988,Bolivia,82
1988,Botswana,82
1988,Peru,83
1988,South Asia (IDA & IBRD),84
1988,South Sudan,84
1988,Seychelles,87
1988,Serbia,88
1988,North America,89
1988,North Macedonia,90
1988,Azerbaijan,91
1988,Greece,92
1988,Barbados,93
1988,Kazakhstan,94
1988,"Bahamas, The",95
1988,Kiribati,96
1988,Kenya,96
1988,Belarus,97
1988,Armenia,98
1988,Nicaragua,99
1988,Paraguay,100
1988,Aruba,101
1988,Luxembourg,102
1988,Malawi,102
1988,Maldives,102
1988,Madagascar,102
1988,Malaysia,103
1988,Lesotho,104
1988,Liberia,105
1988,Argentina,106
1988,Rwanda,107
1988,Samoa,107
1988,Niger,108
1988,Nigeria,108
1988,Arab World,109
1988,Antigua and Barbuda,109
1988,Pre-demographic dividend,111
1988,Post-demographic dividend,111
1988,Portugal,112
1988,Romania,113
1988,Moldova,115
1988,Iraq,116
1988,Uruguay,117
1988,Morocco,118
1988,Middle East & North Africa (excluding high income),119
1988,Middle income,119
1988,Myanmar,120
1988,Mozambique,120
1988,Uzbekistan,122
1988,Vanuatu,122
1988,Middle East & North Africa (IDA & IBRD countries),123
1988,"Micronesia, Fed. Sts.",123
1988,Mauritania,123
1988,Mauritius,123
1988,Middle East & North Africa,123
1988,IDA blend,124
1988,Algeria,125
1988,Africa Western and Central,126
1988,Angola,126
1988,Africa Eastern and Southern,126
1988,Afghanistan,126
1988,Albania,126
1988,Turks and Caicos Islands,127
1988,Turkmenistan,127
1988,Tuvalu,128
1988,Uganda,128
1988,IDA & IBRD total,129
1988,IBRD only,129
1988,Hungary,130
