Year,Country,Economic_Rank
1974,United Arab Emirates,1
1974,Tajikistan,2
1974,Qatar,3
1974,Solomon Islands,4
1974,Slovenia,4
1974,Small states,4
1974,Curacao,5
1974,Cyprus,6
1974,Kuwait,7
1974,Puerto Rico,8
1974,Late-demographic dividend,9
1974,Kyrgyz Republic,9
1974,Lao PDR,9
1974,Kosovo,9
1974,"Korea, Dem. People's Rep.",9
1974,Croatia,10
1974,Cuba,11
1974,Estonia,12
1974,Europe & Central Asia,12
1974,Ethiopia,12
1974,Europe & Central Asia (IDA & IBRD countries),12
1974,Euro area,12
1974,Eswatini,12
1974,Eritrea,12
1974,Latin America & Caribbean,14
1974,Latvia,15
1974,Latin America & Caribbean (excluding high income),16
1974,Latin America & the Caribbean (IDA & IBRD countries),16
1974,Least developed countries: UN classification,16
1974,Lithuania,17
1974,Lower middle income,19
1974,Low income,19
1974,Low & middle income,19
1974,Libya,19
1974,Lesotho,20
1974,Liberia,21
1974,Lebanon,22
1974,Poland,23
1974,Montenegro,24
1974,Denmark,25
1974,Saudi Arabia,26
1974,Switzerland,27
1974,Samoa,29
1974,Rwanda,29
1974,Arab World,30
1974,Antigua and Barbuda,30
1974,Suriname,31
1974,Sudan,31
1974,Sub-Saharan Africa,31
1974,Sub-Saharan Africa (excluding high income),31
1974,Sub-Saharan Africa (IDA & IBRD countries),31
1974,Sao Tome and Principe,32
1974,Senegal,32
1974,Argentina,33
1974,Dominica,34
1974,Dominican Republic,34
1974,Djibouti,34
1974,Early-demographic dividend,34
1974,Australia,35
1974,Sweden,35
1974,Iceland,36
1974,Finland,37
1974,Belgium,37
1974,IDA only,38
1974,IDA total,38
1974,Bolivia,40
1974,Botswana,40
1974,Bhutan,41
1974,Benin,42
1974,Bermuda,42
1974,Belize,42
1974,Serbia,43
1974,Israel,44
1974,European Union,45
1974,Fragile and conflict affected situations,45
1974,Europe & Central Asia (excluding high income),45
1974,Fiji,45
1974,North Macedonia,46
1974,Bulgaria,47
1974,Brunei Darussalam,48
1974,Burkina Faso,48
1974,British Virgin Islands,49
1974,Burundi,50
1974,Cabo Verde,50
1974,North America,51
1974,Germany,52
1974,Brazil,53
1974,Romania,54
1974,Azerbaijan,55
1974,Kiribati,56
1974,Kenya,56
1974,Kazakhstan,57
1974,Upper middle income,58
1974,Aruba,59
1974,"Bahamas, The",60
1974,Ghana,61
1974,Belarus,62
1974,Barbados,63
1974,Armenia,64
1974,Japan,65
1974,France,66
1974,OECD members,68
1974,Oman,68
1974,High income,69
1974,Honduras,69
1974,Haiti,70
1974,Heavily indebted poor countries (HIPC),70
1974,Cameroon,71
1974,Cambodia,71
1974,Guyana,72
1974,Central African Republic,73
1974,Caribbean small states,73
1974,French Polynesia,74
1974,United States,75
1974,Canada,76
1974,Jamaica,77
1974,Bangladesh,78
1974,China,79
1974,Mongolia,80
1974,Norway,81
1974,Greece,82
1974,United Kingdom,83
1974,Tuvalu,85
1974,Uganda,85
1974,Netherlands,86
1974,Zambia,87
1974,Zimbabwe,87
1974,"Yemen, Rep.",87
1974,Virgin Islands (U.S.),87
1974,World,87
1974,Bahrain,88
1974,Gibraltar,89
1974,Grenada,89
1974,Guam,89
1974,Guatemala,89
1974,Ukraine,90
1974,Guinea,92
1974,Guinea-Bissau,93
1974,IDA blend,94
1974,IDA & IBRD total,95
1974,IBRD only,95
1974,Hungary,96
1974,Peru,97
1974,Nicaragua,98
1974,Moldova,99
1974,Sint Maarten (Dutch part),100
1974,Sierra Leone,101
1974,Middle income,102
1974,Middle East & North Africa (excluding high income),103
1974,Channel Islands,104
1974,Central Europe and the Baltics,104
1974,Chad,104
1974,Nigeria,105
1974,Niger,105
1974,New Caledonia,106
1974,Paraguay,107
1974,Malta,108
1974,Algeria,109
1974,Italy,109
1974,Pre-demographic dividend,110
1974,Ireland,111
1974,Isle of Man,112
1974,Africa Eastern and Southern,113
1974,Angola,113
1974,Africa Western and Central,113
1974,Afghanistan,113
1974,Albania,113
1974,Post-demographic dividend,114
1974,New Zealand,115
1974,Austria,116
1974,Equatorial Guinea,117
1974,Marshall Islands,118
1974,Mali,118
1974,El Salvador,120
1974,Chile,121
1974,Spain,122
1974,Iraq,124
1974,South Africa,126
1974,St. Martin (French part),127
1974,St. Kitts and Nevis,127
1974,St. Vincent and the Grenadines,127
1974,St. Lucia,127
1974,Sri Lanka,127
1974,Costa Rica,128
1974,"Gambia, The",129
1974,Gabon,130
1974,Mozambique,131
1974,Myanmar,131
1974,Somalia,132
1974,South Asia,132
1974,Portugal,133
1974,"Congo, Rep.",134
1974,Singapore,135
1974,Philippines,136
1974,Madagascar,137
1974,Luxembourg,137
1974,Maldives,137
1974,Malawi,137
1974,Papua New Guinea,138
1974,Nauru,139
1974,Morocco,140
1974,Namibia,141
1974,East Asia & Pacific (excluding high income),142
1974,East Asia & Pacific (IDA & IBRD countries),143
1974,East Asia & Pacific,143
1974,Georgia,144
1974,Timor-Leste,145
1974,Tanzania,145
1974,Jordan,146
1974,Nepal,147
1974,Tonga,148
1974,Trinidad and Tobago,149
1974,Togo,150
1974,Middle East & North Africa (IDA & IBRD countries),151
1974,Middle East & North Africa,151
1974,"Micronesia, Fed. Sts.",151
1974,Mauritius,152
1974,Mauritania,152
1974,Indonesia,153
1974,Uruguay,154
1974,Panama,155
1974,Tunisia,156
1974,Thailand,157
1974,Malaysia,157
1974,Vanuatu,158
1974,Uzbekistan,158
1974,Turkmenistan,159
1974,Turks and Caicos Islands,159
1974,Comoros,160
1974,"Congo, Dem. Rep.",160
1974,Ecuador,162
1974,Colombia,162
1974,Pacific island small states,163
1974,Other small states,163
1974,Pakistan,164
1974,Mexico,165
1974,South Sudan,166
1974,South Asia (IDA & IBRD),167
1974,India,168
