Year,Country,Ease_of_Living_Rank
1974,Poland,2
1974,Sweden,3
1974,Euro area,4
1974,Puerto Rico,5
1974,Europe & Central Asia (IDA & IBRD countries),6
1974,Canada,7
1974,Germany,8
1974,Denmark,9
1974,United Kingdom,10
1974,Switzerland,11
1974,Tajikistan,12
1974,Japan,13
1974,North America,14
1974,Iceland,15
1974,Norway,16
1974,Bermuda,17
1974,Australia,18
1974,France,20
1974,Greece,21
1974,Europe & Central Asia,22
1974,Curacao,23
1974,Cuba,24
1974,Latvia,25
1974,Montenegro,25
1974,Lithuania,26
1974,Sint Maarten (Dutch part),26
1974,Belgium,27
1974,Dominica,28
1974,Romania,28
1974,Belarus,28
1974,Croatia,29
1974,Finland,30
1974,Italy,31
1974,OECD members,32
1974,Estonia,33
1974,Kuwait,35
1974,Grenada,36
1974,Qatar,37
1974,Israel,38
1974,New Zealand,39
1974,Slovenia,40
1974,United Arab Emirates,41
1974,Bulgaria,42
1974,British Virgin Islands,43
1974,Austria,43
1974,Post-demographic dividend,44
1974,High income,45
1974,Lebanon,46
1974,Antigua and Barbuda,47
1974,European Union,47
1974,Ireland,48
1974,Aruba,48
1974,United States,49
1974,"Bahamas, The",50
1974,Channel Islands,51
1974,Sri Lanka,52
1974,Singapore,53
1974,Kosovo,54
1974,Hungary,55
1974,St. Martin (French part),56
1974,Netherlands,56
1974,Gibraltar,57
1974,Argentina,58
1974,Georgia,59
1974,North Macedonia,60
1974,Brunei Darussalam,61
1974,Uruguay,62
1974,Malta,63
1974,Barbados,63
1974,St. Vincent and the Grenadines,65
1974,Armenia,66
1974,Trinidad and Tobago,67
1974,Central Europe and the Baltics,68
1974,Luxembourg,69
1974,Guam,70
1974,Europe & Central Asia (excluding high income),70
1974,Bahrain,71
1974,Serbia,72
1974,Jamaica,73
1974,Moldova,74
1974,Spain,75
1974,Belize,76
1974,Ukraine,77
1974,Suriname,78
1974,Caribbean small states,79
1974,Portugal,80
1974,Costa Rica,81
1974,St. Lucia,82
1974,Albania,84
1974,Turks and Caicos Islands,86
1974,Isle of Man,87
1974,French Polynesia,88
1974,St. Kitts and Nevis,89
1974,Upper middle income,90
1974,World,91
1974,Jordan,92
1974,Thailand,93
1974,"Korea, Dem. People's Rep.",94
1974,Colombia,95
1974,Virgin Islands (U.S.),96
1974,Chile,97
1974,Malaysia,98
1974,Solomon Islands,98
1974,Small states,98
1974,Latin America & Caribbean,99
1974,Tunisia,100
1974,Brazil,101
1974,Tonga,102
1974,Late-demographic dividend,103
1974,Panama,104
1974,Kyrgyz Republic,105
1974,Philippines,106
1974,Latin America & the Caribbean (IDA & IBRD countries),107
1974,Libya,108
1974,India,109
1974,Fiji,110
1974,Botswana,111
1974,Indonesia,112
1974,New Caledonia,113
1974,China,114
1974,Tuvalu,115
1974,Dominican Republic,116
1974,Samoa,117
1974,Latin America & Caribbean (excluding high income),118
1974,Sudan,119
1974,Turkmenistan,120
1974,Eswatini,121
1974,Uzbekistan,122
1974,Low & middle income,123
1974,Lesotho,124
1974,Guatemala,125
1974,East Asia & Pacific,126
1974,Pakistan,127
1974,Cyprus,128
1974,"Micronesia, Fed. Sts.",129
1974,Zambia,130
1974,Zimbabwe,131
1974,Guyana,132
1974,Ecuador,133
1974,Paraguay,133
1974,Early-demographic dividend,134
1974,Ghana,135
1974,Fragile and conflict affected situations,136
1974,Middle East & North Africa (excluding high income),137
1974,Mauritius,138
1974,Kenya,139
1974,East Asia & Pacific (IDA & IBRD countries),139
1974,Kazakhstan,140
1974,IDA & IBRD total,141
1974,Djibouti,142
1974,Sao Tome and Principe,143
1974,Lao PDR,144
1974,Marshall Islands,145
1974,East Asia & Pacific (excluding high income),146
1974,IBRD only,146
1974,Lower middle income,146
1974,Bhutan,147
1974,Mongolia,148
1974,Bolivia,149
1974,South Africa,150
1974,Cabo Verde,151
1974,Iraq,152
1974,Least developed countries: UN classification,152
1974,IDA only,153
1974,IDA total,154
1974,Low income,155
1974,Arab World,156
1974,Honduras,158
1974,Eritrea,159
1974,Kiribati,159
1974,Nicaragua,160
1974,Ethiopia,161
1974,Azerbaijan,162
1974,Oman,163
1974,Liberia,164
1974,Middle East & North Africa (IDA & IBRD countries),165
1974,Cameroon,166
1974,Peru,167
1974,Central African Republic,168
1974,El Salvador,169
1974,"Congo, Rep.",170
1974,IDA blend,170
1974,Guinea,171
1974,Guinea-Bissau,171
1974,Nauru,172
1974,"Yemen, Rep.",172
1974,Heavily indebted poor countries (HIPC),173
1974,Pacific island small states,175
1974,Haiti,176
1974,Saudi Arabia,177
1974,Mexico,178
1974,Nepal,179
1974,Morocco,180
1974,Gabon,181
1974,"Gambia, The",182
1974,Middle East & North Africa,183
1974,Rwanda,183
