Year,Country,Quality_of_Life_Rank
2014,Norway,1
2014,Switzerland,2
2014,Iceland,3
2014,Germany,4
2014,Sweden,5
2014,Denmark,6
2014,Netherlands,7
2014,Australia,7
2014,New Zealand,9
2014,Singapore,10
2014,Finland,11
2014,Canada,12
2014,United Kingdom,13
2014,Belgium,15
2014,United States,16
2014,Japan,17
2014,Ireland,18
2014,Austria,19
2014,Israel,20
2014,Slovenia,22
2014,France,23
2014,Spain,25
2014,Italy,26
2014,Malta,27
2014,Greece,28
2014,Estonia,29
2014,Cyprus,30
2014,Poland,31
2014,Lithuania,32
2014,United Arab Emirates,33
2014,Saudi Arabia,34
2014,Portugal,36
2014,Latvia,37
2014,Argentina,38
2014,Croatia,39
2014,Chile,40
2014,Qatar,41
2014,Hungary,42
2014,Bahrain,43
2014,Kuwait,44
2014,Montenegro,45
2014,Belarus,47
2014,Romania,48
2014,Uruguay,50
2014,Bulgaria,51
2014,Kazakhstan,52
2014,Costa Rica,53
2014,Panama,54
2014,Malaysia,55
2014,Serbia,56
2014,Georgia,57
2014,Thailand,58
2014,Ukraine,59
2014,Armenia,61
2014,Mexico,62
2014,Ecuador,63
2014,North Macedonia,65
2014,Peru,66
2014,Brazil,67
2014,Moldova,68
2014,Colombia,69
2014,Lebanon,70
2014,Azerbaijan,71
2014,Algeria,72
2014,Tunisia,73
2014,Mongolia,74
2014,China,75
2014,Jordan,76
2014,South Africa,77
2014,Philippines,79
2014,Indonesia,80
2014,India,82
2014,Morocco,83
2014,Nicaragua,84
2014,Nepal,85
2014,Pakistan,87
