Country,Cost of Living Index,Rent Index,Cost of Living Plus Rent Index,Groceries Index,Restaurant Price Index,Local Purchasing Power Index,Year
Thailand,43.7,14.9,29.9,48.3,21.4,34.3,2017
South Africa,43.1,16.3,30.3,36.3,40.2,99,2017
Hungary,42.8,12.7,28.3,33.6,32.7,47.5,2017
Russia,42,17.6,30.3,33.6,43.8,48.3,2017
Czech Republic,41.2,14.8,28.6,35.8,28,76.2,2017
Indonesia,41.1,11.7,27,45.8,20.3,27.6,2017
Malaysia,40.2,11.2,26.3,42.4,20.9,73.3,2017
Vietnam,40.1,15.5,28.3,39.6,20.5,24.8,2017
Peru,39.5,17.2,28.8,36.2,25.5,41.2,2017
Montenegro,39.3,9.5,25.1,31.1,35,46.6,2017
Kenya,39,9.7,25,37.6,30,31,2017
Bolivia,38.7,11.1,25.4,32.1,28,46.7,2017
Turkey,38.6,10.6,25.2,33.5,26.4,55.6,2017
Venezuela,38.3,7.5,23.5,39.4,37.3,3.3,2017
Iran,38.3,17,28.1,33.5,33.2,43.2,2017
Poland,38.1,13.9,26.5,29.7,31.5,71.8,2017
Nigeria,36.8,17.6,27.6,37,22.4,25.2,2017
Bulgaria,36.5,8.9,23.3,30.5,29.6,51.4,2017
Bangladesh,36.1,5.6,21.5,32.7,24.9,37,2017
Romania,35.6,9.6,23.2,29,30.2,53.4,2017
Morocco,35.5,10.4,23.5,31.5,23.9,41.2,2017
Bosnia And Herzegovina,35,6.2,21.2,29.8,24.2,51.3,2017
Philippines,34.7,7.3,21.6,33.9,19.9,36,2017
Colombia,34.4,10.7,23.1,28.8,25,37.6,2017
Uganda,34.1,6.8,21.1,29.4,20.8,19.4,2017
Armenia,33.9,9.9,22.4,26.8,31,32.9,2017
Belarus,33.8,12.2,23.5,27.2,37.6,36.4,2017
Serbia,33.8,7.2,21.1,25,27.2,40.8,2017
Sri Lanka,33.5,8.7,21.6,36.8,19.5,30.3,2017
Albania,32.4,6.3,19.9,26.1,25.1,34.5,2017
Algeria,32.4,6.8,20.1,32.5,20.1,36.7,2017
North Macedonia,30.9,6,19,25.4,20.7,39.8,2017
Kazakhstan,30.7,11.3,21.4,24.8,32,44.8,2017
Nepal,30,3.4,17.2,26.4,16.3,25.1,2017
Mexico,29.8,8.4,19.5,28.1,25.8,60.1,2017
Tunisia,28.7,6.1,17.9,27.6,16.9,40.2,2017
Moldova,28.4,7.9,18.5,22,20.3,29.4,2017
Syria,28.3,6,17.6,26.7,22.2,14.1,2017
Azerbaijan,27.8,10.7,19.6,22.9,29.2,30.8,2017
Georgia,27.4,8.6,18.4,22.3,26.7,33,2017
Pakistan,27.2,5,16.6,24.8,21,39.9,2017
Ukraine,26.2,9.4,18.1,19.9,19.7,26.9,2017
India,25.1,6.8,16.3,25.2,16.4,76.7,2017
Egypt,22.4,5,14.1,19,18.6,29.4,2017
Bermuda,144.9,100.7,123.6,143.4,151.6,104.2,2018
Switzerland,131.4,53.8,94,133.3,131.9,126.1,2018
Iceland,124,54.6,90.5,119,132.6,87.8,2018
Norway,113.7,40.9,78.6,106.5,125,108,2018
Bahamas,100.7,35.3,69.2,88.4,102.1,71.4,2018
Luxembourg,96.6,59.9,78.9,85,107.9,116.7,2018
Denmark,93.3,36.6,66,72.5,113.4,117.5,2018
Singapore,91.4,71.9,82,83.6,64.4,95.9,2018
Japan,86.6,25.6,57.2,91.6,49.2,107.4,2018
Israel,86.5,35.6,62,72.4,94.9,102.3,2018
Ireland,85.4,47.2,67,69.5,93.2,96.1,2018
Australia,84.3,41.8,63.8,80.7,81.6,123,2018
France,83.9,28.6,57.2,78.1,81.9,101.2,2018
Sweden,83.7,28,56.8,76.1,86.7,113,2018
New Zealand,83.4,33.8,59.5,77,79,98.6,2018
Belgium,83.3,28.1,56.7,72.8,93.2,98.9,2018
South Korea,82.9,23.4,54.2,99.7,49,109.4,2018
Netherlands,82.7,36.2,60.3,65.8,92.7,109.5,2018
Finland,81.7,29.7,56.6,68.8,86.9,119.4,2018
Austria,81.5,29.3,56.3,76.8,75.8,98.7,2018
Italy,79.1,23.1,52.1,68,84.7,81.1,2018
Hong Kong,78.7,79.5,79.1,83.5,56.2,82.9,2018
United Kingdom,75.8,33.4,55.4,61,83.9,108.5,2018
Germany,74.3,29.1,52.5,58.9,71.2,125,2018
United States,73,38.5,56.3,73.9,70,127.6,2018
Canada,72.5,30.8,52.4,71.4,68.7,118.9,2018
Malta,70.9,29.3,50.9,59.8,75.1,66.2,2018
United Arab Emirates,67.2,60.7,64.1,55.6,63.3,124.8,2018
Puerto Rico,67,18.7,43.7,66.3,55.7,103.8,2018
Uruguay,66.9,20,44.3,54.5,69.2,34.3,2018
Taiwan,65.4,15.1,41.1,79.2,28.9,106.4,2018
Qatar,65.4,65.3,65.3,57.5,64.8,125,2018
Greece,63.2,11.8,38.4,50.9,61.7,53.8,2018
Spain,61.8,22.2,42.7,51.3,60.6,90.7,2018
Jamaica,60.6,12.5,37.4,60.2,39.7,35.3,2018
Cyprus,60.3,15.4,38.7,49.7,65.4,94.8,2018
Lebanon,60.2,27.9,44.7,46.2,58.7,56.4,2018
Ghana,59.8,32.8,46.8,54.9,37.4,16,2018
Slovenia,59.6,15.5,38.4,50.8,48.9,80.3,2018
Bahrain,59.6,31,45.8,58,54.2,72.3,2018
Palestine,58.2,10.3,35.1,54.4,41.8,60.2,2018
Estonia,57.6,15.8,37.5,43.8,56.8,74.8,2018
Kuwait,56.9,36.3,47,44,48.5,100.6,2018
Costa Rica,56.2,17.6,37.6,55.6,45.9,54.7,2018
Portugal,55.9,20.4,38.8,45.5,46.8,62,2018
Chile,55.2,16.6,36.6,47.8,51.4,54.5,2018
Jordan,55.1,12.1,34.3,46.5,52.7,43.4,2018
Croatia,55.1,12,34.3,46.3,43.4,59.8,2018
Mauritius,55,13.3,34.9,49.5,39.4,46.7,2018
Trinidad And Tobago,54.6,18.8,37.3,53.4,50.3,54.9,2018
Argentina,53.7,13.8,34.5,44.6,53.7,60.2,2018
Latvia,53.4,13.3,34.1,42.5,48,53.1,2018
Lithuania,53.2,15.2,34.9,41.7,48.9,57.3,2018
Panama,52.4,26.6,40,53,44.3,39.1,2018
Brazil,51.3,13.9,33.3,39.7,41.2,41.6,2018
Slovakia,50.4,18.9,35.2,43.7,37.3,67.3,2018
Czech Republic,50.1,19.1,35.1,43.6,36,76.3,2018
Zimbabwe,49.5,12.3,31.6,44.3,37.7,27.3,2018
Oman,49.3,20.3,35.3,46.7,46.2,99.2,2018
Thailand,48.9,17.1,33.6,54.9,23.9,38.6,2018
Hungary,48.6,15.4,32.6,38.6,37.4,50.6,2018
South Africa,48.1,17.9,33.5,40.7,45.7,99.8,2018
Dominican Republic,47.9,10.3,29.8,41.9,43.6,27.4,2018
El Salvador,47.9,11.4,30.3,46.8,36.2,30.9,2018
Saudi Arabia,47.9,13.5,31.3,42,32,131.5,2018
Ethiopia,47.5,24,36.2,39.1,20.2,15,2018
Guatemala,46.9,14.6,31.3,44.6,36.8,41.3,2018
Zambia,46.5,19.5,33.5,40.4,33.5,101.3,2018
Cambodia,45.9,13.6,30.3,49.3,23.1,14.9,2018
Poland,45.2,16.6,31.4,35.9,37.7,74.4,2018
Tanzania,45,19,32.4,34.5,29.4,23.1,2018
Malaysia,44.7,11.5,28.7,48.2,23.2,73,2018
China,44.6,18.4,31.9,47.7,29.6,72.3,2018
Montenegro,44.4,10.8,28.2,35.8,38.1,48.7,2018
Ecuador,44.3,11.2,28.3,42.9,30.8,39.4,2018
Honduras,44.3,10.6,28.1,36.6,33,34.9,2018
Russia,43.9,16.6,30.7,35.9,45.9,51.1,2018
Iraq,43.9,12.8,28.9,37.7,38.4,51.2,2018
Turkey,41.8,10.4,26.6,36.2,31.2,53.8,2018
Bulgaria,41.2,9.8,26.1,35.2,33.6,54.4,2018
Indonesia,39.7,8.5,24.7,43.5,19.5,37.5,2018
Romania,39.7,10.9,25.8,32.8,33.3,66.2,2018
Peru,39.6,14.4,27.5,35.9,26.3,37.1,2018
Serbia,39.6,8.4,24.6,30,31.5,41.8,2018
Vietnam,39.4,15.1,27.7,39.1,20,30.1,2018
Bosnia And Herzegovina,39.3,6.9,23.7,33.8,26.7,52.4,2018
Kenya,38.7,8.7,24.2,36.6,31.6,32.1,2018
Albania,37.9,7.3,23.1,30.9,29.1,37,2018
Morocco,37.1,11.5,24.7,33.3,25.8,45.1,2018
Bolivia,36.5,9.9,23.7,28.8,28.5,44.7,2018
Philippines,36,8,22.5,34.3,20.9,34,2018
Colombia,35.3,10.1,23.2,29.5,26.7,38.6,2018
North Macedonia,34.8,6.9,21.4,28.7,23.6,42.6,2018
Nigeria,34.7,16,25.6,35.8,22.1,19.6,2018
Iran,34.6,15.9,25.6,31,27.3,45.6,2018
Sri Lanka,34.3,8.3,21.8,38.4,19.7,29.6,2018
Kazakhstan,34.3,11.2,23.2,28.1,35.4,40.8,2018
Belarus,34.1,10.6,22.7,27.9,35.8,41.3,2018
Mexico,33.6,9.5,22,32.2,29.5,58.2,2018
Armenia,33.5,8.8,21.6,27.8,31.2,31.8,2018
Moldova,33.1,8.8,21.4,26.6,23.5,29.3,2018
Uganda,32.7,6.8,20.2,28.3,23.2,21.4,2018
Nepal,32.6,4.4,19,30.2,19,25.3,2018
Venezuela,32.2,7.6,20.3,33.8,26.7,4,2018
Algeria,32.1,6,19.5,33.8,17.6,36,2018
Bangladesh,32,5.5,19.2,30.2,21.2,39.6,2018
Azerbaijan,30.6,9.5,20.4,27.4,30.6,28.7,2018
Georgia,29.7,9.8,20.1,24.6,29.2,35.5,2018
Kosovo (Disputed Territory),29.4,8.6,19.4,26.3,21,59.2,2018
Syria,27.8,5.1,16.9,26.2,22.2,11.3,2018
Tunisia,27.7,5.8,17.1,26.4,17.1,38.2,2018
India,26.9,6.8,17.2,27.5,18.3,79.3,2018
Ukraine,26,8.9,17.7,20.4,18.6,30.2,2018
Egypt,25.7,5.1,15.7,23,21,24.7,2018
Pakistan,25.1,5.3,15.5,23.8,19,41.1,2018
Switzerland,121.2,50.2,87.1,120.8,123.1,129.7,2019
Iceland,101.9,48.3,76.1,92.1,111.8,91.8,2019
Norway,101,37.3,70.4,92.7,111.5,103.6,2019
Bahamas,92.4,33.5,64.1,77,99.9,57,2019
Luxembourg,86.1,55.6,71.5,75.1,96.1,106.3,2019
Japan,83.3,28,56.7,83.6,48.8,103.1,2019
Denmark,81.4,32.9,58.1,63.6,95.1,114.4,2019
Hong Kong,78.1,76.8,77.5,80.3,56.1,69.3,2019
South Korea,76.9,22.2,50.7,89.7,44.8,103.4,2019
Ireland,75.3,41.8,59.2,59.1,82.6,95.1,2019
France,74.9,26.2,51.5,68.3,75.4,91.6,2019
Netherlands,74.8,34.7,55.6,58.8,83.5,102.5,2019
Israel,74.3,29.4,52.7,61.9,80.8,92.5,2019
Belgium,73,25.8,50.3,60.9,83.4,95.1,2019
Finland,72.8,26.1,50.4,60,77.9,112.3,2019
New Zealand,72.6,31.6,52.9,65.7,68.8,101.1,2019
Australia,72.1,35.5,54.5,66.9,70.7,122.9,2019
Austria,71.8,27.6,50.6,65.6,70.1,96.7,2019
Sweden,71.6,26,49.7,63.5,75,111.4,2019
United States,69.9,39,55.1,67.4,69.3,122,2019
Singapore,69.8,53.1,61.8,57.5,46.7,103.8,2019
Italy,69.2,21.7,46.4,58.3,75.7,77.5,2019
Germany,67.6,26.8,48,54.3,63.6,116.2,2019
United Kingdom,65.3,28.6,47.7,51.9,72.4,105.7,2019
Canada,65,28.3,47.4,62.4,61.8,109.4,2019
Puerto Rico,63.8,18,41.8,61.7,54.8,98.4,2019
Malta,63.3,28.7,46.7,51.2,67.3,59.7,2019
Taiwan,59.8,23.4,42.3,69.6,26.9,56.4,2019
Qatar,59.1,46.6,53.1,47.7,61.9,138.3,2019
Jamaica,58.8,14.7,37.6,58.8,42.3,34.7,2019
Lebanon,58.1,26.9,43.1,43.3,56.8,54,2019
Uruguay,57.3,16.2,37.6,45.1,56.3,47.8,2019
Bahrain,56.7,29.6,43.7,51.2,52.2,74.6,2019
Greece,56.7,10.8,34.6,43.7,54.8,49.6,2019
United Arab Emirates,56.2,41,48.9,43.2,53.9,119.6,2019
Cyprus,55.6,20.2,38.6,44.3,59.8,75.3,2019
Jordan,55,11.9,34.3,44.4,52.3,41.7,2019
Spain,54.7,20.7,38.4,44,54.1,83.8,2019
Slovenia,52.5,15.4,34.7,43.3,43.8,75.4,2019
Mauritius,52.4,11.5,32.8,47.9,39.1,39.8,2019
Myanmar,52.4,24.7,39.1,54.8,20.2,14,2019
Trinidad And Tobago,52.1,17.1,35.3,50,46,57,2019
Zimbabwe,51.6,11.7,32.4,45.7,36.8,27.7,2019
Kuwait,51.5,32.9,42.6,39.9,47.3,102,2019
Panama,51.4,24.6,38.6,48.2,47.1,41.3,2019
Ghana,51.1,31.6,41.7,44.8,31.7,18.7,2019
Estonia,51,15.4,33.9,37.1,51.2,76,2019
Fiji,50.9,22.7,37.4,57.6,36.5,35.4,2019
Costa Rica,50.9,15.5,33.9,47.9,42.6,47.1,2019
Portugal,50.4,21.1,36.3,40.2,43.1,55.2,2019
Palestine,50.2,9,30.4,43.9,37.3,57.2,2019
Belize,49.4,8.8,29.9,42.9,36.7,70.8,2019
Latvia,49.2,12,31.4,36.7,45.5,55.2,2019
Croatia,49.2,11.6,31.1,40.3,40.4,60.3,2019
Chile,47.7,15.2,32.1,40.5,45.1,54.1,2019
Saudi Arabia,47.6,11.4,30.2,39.1,30.9,118.6,2019
Thailand,47.5,17.7,33.2,50,24.6,40.9,2019
Cambodia,46.8,14.4,31.3,44.2,24.4,12.5,2019
Oman,46.2,19.9,33.6,40,44.4,88.5,2019
El Salvador,46.1,14.2,30.8,45.6,35.5,30.1,2019
Lithuania,45.9,12.9,30.1,35.4,43.9,60.3,2019
Nicaragua,45.8,9.5,28.4,46.4,31.1,24.5,2019
Czech Republic,45.1,18.3,32.2,38.1,33.2,71.3,2019
Slovakia,45,16.1,31.1,38.5,33.6,63.2,2019
Dominican Republic,44.9,10.2,28.3,35.7,42.4,26,2019
Namibia,43.2,17.5,30.8,39.9,38.6,63.6,2019
Brazil,42.8,11.5,27.7,31.3,34.8,37.4,2019
South Africa,42.5,16.5,30,33.9,40.8,83,2019
Honduras,42.1,10.8,27.1,33.6,31.5,35.2,2019
Hungary,42,13.6,28.4,32.4,33.4,54.7,2019
Ecuador,42,11.6,27.4,37.9,29.4,40.8,2019
Guatemala,41.7,13.9,28.4,38,32.3,41.8,2019
Cuba,40.5,8.1,24.9,34.3,28.3,2.5,2019
Iraq,39.6,11.5,26.1,34.1,31.8,47.6,2019
Montenegro,39.6,9.9,25.4,30.8,34.2,46.3,2019
Malaysia,39.4,10.9,25.7,39.7,22.7,73.1,2019
China,39.2,17.4,28.7,39.9,28.2,69,2019
Poland,39.1,14.9,27.5,30.7,32.7,70,2019
Kenya,38.2,10,24.7,33.2,31.2,32.5,2019
Vietnam,37.7,13.1,25.9,37.9,18.9,33.3,2019
Bulgaria,37.2,9.2,23.7,31.1,29.9,52.2,2019
Peru,37.2,12,25.1,32.7,23.7,37.5,2019
Romania,36.5,10,23.7,29.9,32.3,61.2,2019
Indonesia,36.2,8.4,22.9,38.1,18,33,2019
Albania,36.2,8.2,22.7,28.6,29.3,33.8,2019
Iran,35.8,16.9,26.7,32.6,26.9,37.7,2019
Bosnia And Herzegovina,35.7,6.3,21.6,28.8,23.8,49.2,2019
Russia,35.5,12.7,24.5,29.2,37,45.4,2019
Serbia,35.4,8.1,22.3,26.3,27.8,39.9,2019
Turkey,35.2,7.2,21.8,30.4,23.7,45.3,2019
Philippines,35.1,8.1,22.1,32.6,19.7,29.5,2019
Tanzania,34.7,16,25.8,28.6,25.2,22.7,2019
Bolivia,34.4,10.9,23.1,26.9,28,44,2019
Morocco,34,9.5,22.2,29.9,23.9,41.4,2019
Belarus,33.1,10,22,27.8,36,44.6,2019
Argentina,33.1,9.5,21.8,26.3,32.5,55,2019
Mexico,32.7,10.1,21.8,30.3,30.2,50,2019
Armenia,32.5,9.9,21.7,25.8,32.5,33.1,2019
Paraguay,32.3,9.4,21.3,26,25.8,35.6,2019
Moldova,32.3,8,20.6,25,27.7,30.7,2019
Bangladesh,31.8,5.4,19.2,29.5,19,39.8,2019
North Macedonia,31.6,6.5,19.5,24.8,23.7,39.8,2019
Nigeria,31.2,29,30.2,31.8,19.2,15.1,2019
Algeria,30.6,5.5,18.5,32,16.4,32.9,2019
Uganda,30.3,8.5,19.8,26.1,21.9,22.7,2019
Sri Lanka,30.2,7.6,19.4,33.6,17.4,27.3,2019
Colombia,30.1,9.2,20.1,24.3,22.5,34.7,2019
Kazakhstan,29.8,9.8,20.2,23.8,29.8,38.8,2019
Nepal,29.6,4.6,17.6,25.4,19.7,26.3,2019
Azerbaijan,29.1,8.7,19.3,24.1,30.7,32,2019
Georgia,28.8,8.5,19.1,23.4,27.1,33.2,2019
Ukraine,27.9,9.5,19.1,22.5,22.1,32.7,2019
Uzbekistan,27.1,8.3,18.1,23.9,21.1,25.1,2019
Egypt,26.5,5,16.2,23.2,22.3,23.7,2019
Kosovo (Disputed Territory),26.2,8.1,17.5,23.2,19.6,61.8,2019
Venezuela,25.7,5.9,16.2,27.6,22,3.7,2019
India,24.2,5.8,15.4,24.2,17.2,66.9,2019
Tunisia,23.7,5,14.7,22.3,13.3,38,2019
Pakistan,20.4,4.5,12.8,18.2,15.4,38.6,2019
Switzerland,122.4,50.3,87.9,120.3,123,119.5,2020
Norway,101.4,36.2,70.2,91.1,109.3,88.4,2020
Iceland,100.5,47,74.9,86.9,113.7,79.4,2020
Japan,83.3,26,55.9,81.8,48.9,87.3,2020
Denmark,83,31.9,58.6,61.7,100.8,100.9,2020
Bahamas,82.5,36.4,60.4,62.7,83.7,54.2,2020
Luxembourg,81.9,54.9,69,69.1,89.8,103.9,2020
Israel,81.2,31.3,57.3,66.3,88.6,78.1,2020
Singapore,81.1,63.3,72.6,66.8,59,89,2020
South Korea,78.2,22.9,51.7,91.3,44.9,85.2,2020
Hong Kong,77.2,79.6,78.3,75.9,54.4,65.3,2020
Barbados,76,19.7,49.1,65.2,68.1,51.1,2020
Ireland,75.9,43.9,60.6,58.4,81.2,80.9,2020
France,74.1,25.4,50.8,67.9,72.5,80.4,2020
Netherlands,73.7,35.2,55.3,55.9,80.5,90.7,2020
Australia,73.5,34.9,55,67.2,70.3,107.3,2020
New Zealand,72.5,32.1,53.2,64.7,68.8,92.7,2020
Belgium,71.8,25.4,49.6,58.7,80.1,86.3,2020
Seychelles,71.6,32.3,52.8,64.6,84.9,21.7,2020
United States,71.1,40.3,56.4,66.6,70.7,109.5,2020
Austria,70.4,26.8,49.5,61.7,68.1,82.4,2020
Finland,70.3,26.2,49.2,56.5,76.8,99.9,2020
Sweden,69.8,25.9,48.8,60.5,72.3,101.7,2020
Canada,67.6,30.7,50,63.7,63.5,95.1,2020
Puerto Rico,67.5,19.3,44.5,65.8,58.7,79.4,2020
Malta,67.5,31,50,54.9,75.9,46.3,2020
United Kingdom,67.3,29.8,49.4,51.3,74.1,91.7,2020
Italy,67.3,21.2,45.2,55.4,72.3,65.6,2020
Germany,65.3,27.1,47,49.2,61.6,102.4,2020
Macao,64.8,44,54.9,62,43.4,80.9,2020
Qatar,64,47.4,56.1,53.6,66.8,111.7,2020
United Arab Emirates,62,41.1,52,47.6,61.3,91.6,2020
Taiwan,61.4,16.4,39.9,71.5,28.5,65.7,2020
Lebanon,60.5,24.5,43.3,43.9,58.2,44.5,2020
Bahrain,58.9,30.9,45.6,48.1,54.5,57.9,2020
Cyprus,57.9,20.5,40,44.2,63.1,57.4,2020
Jamaica,57.8,15.2,37.5,59,38.1,32.4,2020
Greece,55.7,11.7,34.6,41.6,53.7,43.7,2020
Zimbabwe,55.3,11,34.1,50.8,40.8,26,2020
Palestine,54.5,8.8,32.7,46.7,38.9,46.9,2020
Ethiopia,54.4,20.9,38.4,36.3,19.4,8.3,2020
Panama,54.2,24.8,40.1,53,47.3,34.2,2020
Costa Rica,54,15.5,35.6,49.6,43.5,42.6,2020
Spain,53.8,21.8,38.5,42.4,52.1,72,2020
Trinidad And Tobago,53.7,17.3,36.3,49.4,49.8,45.7,2020
Jordan,53.7,11.5,33.5,43.3,47.1,34.9,2020
Slovenia,53.4,17.1,36,43.8,45.4,66.3,2020
Mauritius,53,12,33.4,48.9,44,30.9,2020
Uruguay,51,14.4,33.5,40.1,47.4,37.5,2020
Estonia,50.9,15.4,33.9,36.6,52.9,71.3,2020
Kuwait,50.4,31.2,41.2,34.7,47.1,85.6,2020
Thailand,49.8,17.1,34.1,49.2,24.9,35.5,2020
Croatia,49.7,13.5,32.4,39.9,42.4,50.4,2020
Portugal,49.5,21.8,36.3,38.1,42.5,49.4,2020
Oman,49.3,18,34.3,43.5,44.3,81,2020
Belize,49.2,9.7,30.3,41.9,37,57.5,2020
Saudi Arabia,48.3,11.4,30.7,37.9,33.5,100,2020
Latvia,47.9,12.3,30.9,34.9,42.9,52.5,2020
Cambodia,47.5,14.9,31.9,44.6,25.2,11.3,2020
Fiji,47.5,18.5,33.6,52.7,35.9,33.2,2020
Czech Republic,46.1,19.6,33.4,38.1,34.1,62.8,2020
El Salvador,45.6,13.5,30.2,43.7,34.8,24.7,2020
Brunei,44.7,23.1,34.4,37.1,38.1,87,2020
Nicaragua,44.6,7.6,26.9,41.7,31.4,23.9,2020
Slovakia,44.5,16.1,30.9,37.5,33.8,56.9,2020
Lithuania,44.3,13.6,29.6,33.6,42.7,57.8,2020
Dominican Republic,44.1,10.6,28.1,35.9,38.3,24,2020
Chile,43.6,13.4,29.2,36.4,41.6,42.5,2020
Cuba,43.5,4.8,25,37.4,30.9,2.2,2020
Suriname,43.1,7.8,26.2,45.8,35,22.4,2020
Namibia,43.1,16.1,30.2,36.8,39.2,55.6,2020
South Africa,42.9,16.6,30.3,33.3,40.6,73.6,2020
Guatemala,42.7,15.3,29.6,37.4,33,39.8,2020
Honduras,42.2,10.6,27.1,33.3,30.5,30.3,2020
Myanmar,42.1,23.8,33.3,44.7,19,10.2,2020
Ecuador,41,12,27.1,35.5,30.7,36.1,2020
Hungary,40.9,14,28,30.8,34.5,47.6,2020
Brazil,40.2,10.6,26.1,29.2,30.8,32.8,2020
Kenya,40.2,10.7,26.1,35.4,35.1,27.3,2020
China,40,16.4,28.7,40.4,29.2,60.9,2020
Poland,40,15.7,28.4,30.6,33.4,59.6,2020
Russia,39.2,11.4,25.9,31.1,39.6,38.9,2020
Botswana,39.1,11.1,25.7,31.7,40,58.1,2020
Malaysia,39.1,11,25.7,37.6,22.9,64.5,2020
Iraq,39,11.3,25.8,31.8,32.7,42.4,2020
Iran,39,14.5,27.3,35.5,25.1,22.7,2020
Somalia,38.7,4.8,22.5,45.9,27,33.2,2020
Peru,38.7,12.8,26.3,33.8,24.7,34,2020
Vietnam,38.3,13.6,26.5,37.1,19.6,28.1,2020
Montenegro,38.2,10.4,24.9,28.6,33.2,39.8,2020
Ghana,37.6,19.4,28.9,37.2,26.6,14.7,2020
Philippines,37.6,9,23.9,33.5,20.8,23.5,2020
Indonesia,37.3,10.6,24.5,37.4,18.3,25.1,2020
Bulgaria,36.7,9.6,23.8,30.1,29.1,49.4,2020
Albania,36.4,8.5,23.1,28.4,26.8,29.6,2020
Bosnia And Herzegovina,36,6.7,22,28.1,25.1,41.8,2020
Mexico,35.7,11.5,24.1,32.4,32.1,41.8,2020
Serbia,35.7,9.1,23,25.5,28.6,36.7,2020
Romania,35.3,10,23.2,29,30.5,48.9,2020
Tanzania,35.3,14,25.1,29.7,22.6,17.6,2020
Belarus,34.7,10.5,23.1,28.1,38.9,37,2020
Turkey,34.7,6.8,21.3,29.8,24.2,40.8,2020
Bolivia,34.6,10.9,23.3,28.1,25.1,39.3,2020
Morocco,34.3,8.9,22.2,30.1,24.5,35.2,2020
Moldova,33.7,8.4,21.6,26,27.8,27.6,2020
Rwanda,33.3,11.9,23.1,26.8,29.2,19.3,2020
Ukraine,33.2,10.5,22.3,26,26.4,31.8,2020
Argentina,33,8.3,21.2,25.8,30.5,47.2,2020
Armenia,32.8,10.9,22.4,25.6,30.4,28,2020
Bangladesh,32.3,5,19.2,29.7,19.2,33.2,2020
Zambia,31.7,7.4,20.1,26.9,22.1,54.1,2020
Sri Lanka,31.6,7.7,20.2,35.1,18.8,24.5,2020
North Macedonia,31.6,6.5,19.6,24.9,23.3,37.2,2020
Paraguay,31.1,9.7,20.8,25,25,32.6,2020
Nigeria,31,23.6,27.5,31.1,17.7,13.5,2020
Colombia,30.7,9.6,20.6,25.1,22.4,31.1,2020
Kazakhstan,30.6,9.8,20.7,24.3,29.9,38.4,2020
Uganda,30.2,10.2,20.6,25.3,22.1,20.5,2020
Algeria,30.1,5.3,18.3,30.7,15.9,28.7,2020
Azerbaijan,29.9,9.5,20.1,23.7,30.4,30.2,2020
Egypt,29.5,5.5,18,25.5,23.5,22.4,2020
Nepal,29,4.8,17.4,24.9,20.4,21.9,2020
Georgia,28.5,9.8,19.5,23.1,26.7,24.9,2020
Kosovo (Disputed Territory),28.5,8.5,18.9,26.5,21,48.9,2020
Venezuela,27.2,6.8,17.4,28.3,24.4,2.6,2020
Tunisia,27,5.5,16.7,25.3,14.9,34.5,2020
Kyrgyzstan,27,9.2,18.5,23.4,21.4,25,2020
Uzbekistan,26,7.5,17.2,21.6,20.2,24.3,2020
Syria,25.3,5.7,15.9,22.4,21.4,11.5,2020
India,24.6,5.7,15.5,24.5,17.2,54.3,2020
Afghanistan,24.2,4,14.6,17.7,17.4,28.2,2020
Pakistan,22,4.6,13.7,19.1,16.8,30.6,2020
Bermuda,145.1,92.9,120.1,141.8,157.7,83.4,2021
Switzerland,131.7,55,95.1,133.4,126.1,111,2021
Norway,106.1,36.2,72.7,100.6,105.9,79.4,2021
Iceland,96.8,43.2,71.2,88.8,102.2,71.9,2021
Denmark,91.7,36.2,65.2,72.6,104.9,94.7,2021
Luxembourg,88.3,61.6,75.5,80.7,94.7,95.4,2021
Japan,87.8,28,59.2,90.5,49.7,76.5,2021
Israel,86.6,31.9,60.5,73.7,91.1,70.4,2021
Bahamas,85.8,34.5,61.3,69.4,89.3,49.3,2021
Singapore,85.6,64.8,75.6,75.3,62.1,83.6,2021
Australia,84.1,38.4,62.3,81.1,76.3,99.3,2021
Ireland,83.1,45.4,65.1,67.8,82.3,73.8,2021
Barbados,81.5,21.1,52.6,71.5,72.8,45.3,2021
South Korea,81.2,22.9,53.3,99.8,44,76.6,2021
France,80.6,27.8,55.4,77.5,75.5,74.1,2021
Hong Kong,79.9,74.2,77.2,81.7,58.6,62.4,2021
Sweden,79.2,28.1,54.8,71.7,77.2,90.6,2021
New Zealand,79.1,35.4,58.2,75,69.2,81.4,2021
Seychelles,78.9,34.3,57.6,78.6,84.2,18,2021
Netherlands,78.6,39.3,59.8,61.6,81.6,83.9,2021
Belgium,78.5,26.8,53.8,67.3,82.4,76.5,2021
Finland,77.5,28,53.9,65.6,81.2,89.1,2021
Lebanon,75.9,24.1,51.1,72.5,62.9,29.5,2021
Austria,75.5,28.4,53,67.6,71,78.2,2021
Malta,73.6,33,54.2,63.4,77,41.9,2021
Italy,73.1,22.9,49.1,62.5,75.6,58.7,2021
United States,71.9,41.1,57.2,70.2,69.4,102.6,2021
United Kingdom,71,31.6,52.2,56.4,74.7,82.6,2021
Germany,70.6,29.6,51,54.7,65,93.7,2021
Canada,70.1,32.5,52.1,68.5,64,82.8,2021
Macao,69.6,44.4,57.6,66.3,48.9,67.6,2021
Puerto Rico,69.5,19.4,45.6,72.1,58.1,69.2,2021
Taiwan,65.2,17.9,42.6,79.1,28.8,56.1,2021
