GDP_Growth_Rate,GDP_Per_Capita
1.137275544,253.3823695
17.56641211,219.8653684
8.86265711,352.5338404
22.32043828,351.870854
7.175799265,3304.83782
7.122875502,2058.769051
-5.649649519,3005.784399
5.619852293,133.1429452
9.509402995,688.5346662
6.352672114,2765.890997
4.807693364,441.1719393
2.097757581,110.34695
6.31229236,3387.272727
5.231029301,219.55969
17.12026767,162.506051
0.117019611,81.68773209
21.32567073,69.39510892
3.092068234,178.4061667
2.918713242,4135.821498
1.078585387,709.9327389
2.332880877,91.47264874
1.859656479,127.9564554
1.82896697,931.1267372
19.3,113.1625778
6.207796961,344.3325998
6.358470187,196.8238117
7.503134343,530.7063376
10.37503184,265.7403582
1.596841747,3464.455156
18.22668288,331.8907091
8.289922,215.3002986
3.891123438,320.2438084
13.44169049,115.2622192
13.44169049,113.8319801
6.87192933,463.7724284
5.598515038,231.2174024
2.977295093,313.0400183
3.48272874,107.5783521
5.59703132,2215.089405
4.984959216,1384.314136
5.508305287,1888.62756
12.70271113,416.7253857
7.470432644,2465.644819
12.2177344,214.4787957
6.108679758,2870.15751
1.626711339,2154.83795
8.679342176,542.2083275
6.153846573,98.90867695
5.103144545,2761.166833
9.723472587,249.9133518
8.930580656,1494.387984
5.707883598,349.0249756
4.255456893,379.7175797
0.651153708,70.75695414
0.016209375,158.7043215
3.019043913,2441.674489
3.62672094,259.8146512
9.206830693,960.0319615
4.7,557.3729824
7.70145871,257.4849816
7.776299083,243.5104304
17.96419712,205.2182413
0.869641654,150.0323861
8.242260751,166.4781984
7.458143075,2576.353444
5.157229737,111.9683182
7.554634515,79.41345543
10.92760163,385.812266
4.544357067,334.4412024
2.660529298,1486.514527
7.30733553,2476.219881
5.310502429,2106.863959
12.06440904,755.5953108
0.399050645,2100.74807
-4.655446916,139.7572736
10.05273481,279.3087463
10.81376081,301.5573646
-0.709250473,140.2651263
2.177071169,67.16291998
6.663192709,220.7624134
4.950748919,2410.279115
7.933697739,200.3175736
7.203887709,144.6571944
1.759933831,4298.033897
5.276455575,167.4550101
5.98653863,374.9228805
6.136954863,58.46546333
11.98593115,275.7136584
-0.402343021,271.338747
6.502484035,706.3131871
17.53175527,402.6781162
8.373203231,318.5696062
8.373203231,321.5433993
8.104266356,206.1270565
4.713460376,257.7296448
4.979330597,20.6550842
2.575992127,69.27090364
6.140181424,2927.072939
30.99928973,3203.711465
-1.3976076,2311.027722
3.055778922,139.1771437
25.00724193,225.7739995
0.433701018,5130.399802
1.943300505,3306.219476
2.759900073,2618.626686
13.89509644,382.1715672
11.35346172,169.1240002
6.959226108,891.0546713
10.84280578,259.3623595
5.553425733,246.850847
3.692487487,201.9232587
9.11384196,934.0821561
2.676546481,2785.861159
8.646975079,186.3996769
8.397917946,1852.354673
6.001425247,56.43719034
52.5920942,880.636281
8.562045515,297.0429711
8.871869865,343.8811885
8.62049324,156.406377
13.942003,925.7978643
4.581407921,93.51989929
5.248661431,948.5917938
5.907181552,118.1973193
5.907181552,118.1973193
4.244970767,1212.289326
3.846629857,185.3671328
10.74588955,187.3876436
7.845648716,239.7086435
7.845648716,239.7086435
7.845061018,239.7052755
5.925074716,143.4661255
2.7,723.577193
6.473673926,4736.217154
6.377406519,4044.420682
-1.796852875,338.7112796
-46.43303514,215.2334442
11.40794907,197.9937498
2.524302645,163.2240506
3.533635678,831.0833359
4.669631773,285.1442237
3.233508973,502.6206744
2.708581505,2347.544318
0.216606498,5234.296666
8.395368134,246.0731085
2.333213381,765.911759
7.711914381,1018.108984
3.735703524,813.3802713
4.797112903,426.3021877
22.56515084,362.1441468
5.473910819,268.3500786
10.58261653,197.1038803
-11.33171917,359.8217989
4.649465361,4193.162374
9.118633965,396.3473072
4.0006402,3495.141627
5.114968585,2380.978458
1.62650874,3108.954374
1.607142856,1827.689107
-5.479483027,127.9954527
3.912722436,770.8860444
3.98582711,3082.927989
3.959441082,479.9269418
-1.496841826,108.4947186
3.437500001,3866.300366
2.677100489,214.642191
5.063336439,231.3576993
25.82110722,210.9590897
1.413339882,84.5179878
2.746828712,70.58552337
3.479707817,186.6419299
4.018844935,4535.393389
2.872512446,755.0313523
1.130202384,95.41896067
-2.247626372,134.0981084
9.422686211,1089.310862
7.059999999,118.654144
5.960727946,365.3459511
7.753035853,223.6753157
6.778505426,565.2875631
9.456637662,277.000411
8.583859012,766.1069507
3.004995574,3845.506089
10.87146607,362.2951315
5.781024209,226.7482527
5.279263139,346.6660228
6.769539782,120.5039612
6.773573611,119.0107021
6.292606196,433.6708481
4.057346327,242.1332786
3.858257513,319.880475
13.74363373,299.9740186
6.526476163,110.8015746
3.772924963,2496.499911
3.728569443,1550.524295
3.660883082,2123.199393
6.888986665,460.5006091
2.356921358,2716.190092
7.640254172,213.4524653
5.316839076,3180.33744
12.00240865,2431.171698
10.25873091,626.0315808
-0.065877039,102.3827351
3.132699738,3192.133616
5.216124557,266.4636046
7.841177034,1652.325956
13.06085135,1874.295302
5.583754547,355.0903711
5.365818408,836.2564341
-3.910967458,343.4263313
3.112850844,395.0811314
6.480380501,76.11577907
4.565058075,164.7718593
3.971150248,2683.14346
3.995003607,254.9258047
7.29300619,1106.469717
6.2,604.8731762
6.115484125,272.9822396
6.151966646,254.7136431
10.61410842,185.9845402
2.669962749,153.9130302
6.375758375,162.7422764
13.06083765,3252.099178
1.642930375,118.1605289
7.023997197,78.86575683
13.70158299,469.0835554
5.374552534,380.6375126
3.469885646,1703.932183
10.95107097,2284.891878
1.818107934,2305.609751
2.458073452,816.4077781
4.698992042,2321.390925
22.17389193,149.4640262
-2.290060344,261.0170407
10.54551355,301.1787367
7.043680959,4518.735948
8.510786915,324.2264053
1.724418115,142.1373137
5.113717713,72.15944934
4.90483027,227.4439986
-5.277525025,2686.070267
1.669222005,4874.740686
6.177547367,208.5147924
4.808020437,147.2622834
2.667233586,4435.398008
3.929365031,175.3548968
10.03466058,402.2149282
5.20722636,169.7260006
2.568996024,63.25645746
2.453993612,874.0663356
2.309910963,369.4007405
1.842886438,290.1938989
4.273563448,299.6048019
3.762467685,755.3324884
2.301575418,359.0255562
10.66788271,451.5507332
6.212169305,356.170766
6.212169305,359.4955595
6.223000535,214.4023688
5.228060023,13315.97767
5.596893659,276.5081177
4.129962445,21.04421976
2.89838735,2804.578539
-1.195383302,69.10171858
4.316980365,3378.614797
6.999215676,3449.881488
3.785457619,2772.918597
5.67932064,144.5828376
14.23753156,161.5439014
3.351698339,5506.272177
5.673611186,3736.348737
3.764328536,2863.540021
0.898225087,437.0053369
6.376774499,398.0928017
0.468372549,175.19892
