Year,Country,Inflation_Rate,GDP_Per_Capita,GDP_Growth_Rate,Unemployment_Rate,Cost of Living Index,Local Purchasing Power Index,Economic_Index_FA,Economic_Index_PCA
1970,Africa Eastern and Southern,10.3280493337,253.3823695,1.137275544,5.175243793160767,32.63704607059607,27.92017103382729,-0.588,-1.127
1970,Africa Western and Central,4.635118896093023,219.8653684,17.56641211,4.103712693124262,39.1861936119436,29.33384153138528,-0.529,-0.981
1970,Arab World,5.65645677074,351.870854,22.32043828,4.089239507581575,39.11203084138084,30.44571000098757,-0.516,-0.992
1970,Argentina,23.317391304347822,7948.212148756097,3.045643319,5.1176970271814834,41.855355205905205,36.70553897630148,-0.028,-0.184
1970,Australia,3.439153439,3304.83782,7.175799265,3.839744343460309,42.71056891441893,32.33582926934176,-0.306,-0.52
1970,Austria,4.372824416,2058.769051,7.122875502,4.086307832084447,37.60817051282052,36.394279266566784,-0.392,-0.67
1970,Burundi,-0.199650611,69.39510892,21.32567073,4.785075444572788,43.10113833388832,30.788446303410627,-0.495,-0.809
1970,Belgium,3.908472385,2765.890997,6.352672114,4.0071386738543575,42.52922918192919,33.75551084054834,-0.328,-0.501
1970,Benin,3.925110724000001,110.34695,2.097757581,4.653718159841696,36.88732554112555,26.435849155011667,-0.569,-1.011
1970,Burkina Faso,1.772603315,81.68773209,0.117019611,4.931239022340509,41.8638207015207,28.957152378830315,-0.51,-0.709
1970,Bangladesh,6.376803452270271,133.1429452,5.619852293,3.7128401520363976,38.31814292929292,25.62631265540016,-0.562,-1.016
1970,"Bahamas, The",6.152093421,3005.784399,-5.649649519,5.097040256389701,34.98668513414689,31.69728077004694,-0.39,-0.741
1970,Belize,2.461901865,441.1719393,4.807693364,3.2230127254911465,38.58012640692641,27.1485541423446,-0.533,-0.946
1970,Bolivia,3.955509211,219.55969,5.231029301,3.621850132507908,36.60176378066379,25.72166873126872,-0.571,-1.079
1970,Brazil,273.85442999893024,6597.142822285714,10.4,4.654938867694394,51.13229023754024,30.188453798978795,-0.068,-0.127
1970,Barbados,7.284216374,688.5346662,9.509402995,3.350513375187242,39.28452997557997,27.40954622946497,-0.513,-0.943
1970,Botswana,8.882858721795918,162.506051,17.12026767,4.158300314635723,41.02162117327117,27.051751618520367,-0.531,-0.966
1970,Central African Republic,3.861977366325581,91.47264874,2.332880877,4.610504936176472,36.59866363636363,26.381272287434797,-0.573,-1.028
1970,Canada,3.346039814,4135.821498,2.918713242,4.64024318512148,43.46907580752581,34.94569753441006,-0.235,-0.33
1970,Switzerland,3.615986786,4044.420682,6.377406519,4.081617315780769,41.9950826950827,32.158404236041726,-0.273,-0.514
1970,Chile,40.1659770388868,931.1267372,1.82896697,4.74980897173855,38.13154507159507,27.96775128482627,-0.503,-0.879
1970,China,4.650510543243243,113.1625778,19.3,4.103712693124262,39.1861936119436,29.38877010281385,-0.535,-1.0
