Year,Country,Quality_of_Life_Rank
2016,Switzerland,1
2016,Norway,2
2016,Iceland,3
2016,Denmark,4
2016,Germany,5
2016,Sweden,6
2016,Australia,8
2016,Singapore,9
2016,New Zealand,10
2016,Netherlands,11
2016,Finland,12
2016,Ireland,13
2016,Canada,14
2016,Belgium,15
2016,United Kingdom,16
2016,United States,17
2016,Japan,18
2016,Austria,20
2016,Israel,21
2016,Slovenia,23
2016,Spain,24
2016,France,25
2016,Malta,27
2016,Italy,28
2016,Estonia,29
2016,Greece,30
2016,Cyprus,31
2016,Poland,32
2016,United Arab Emirates,33
2016,Lithuania,34
2016,Bahrain,35
2016,Saudi Arabia,36
2016,Latvia,37
2016,Portugal,39
2016,Qatar,40
2016,Chile,41
2016,Croatia,42
2016,Argentina,43
2016,Hungary,44
2016,Kuwait,45
2016,Montenegro,47
2016,Romania,49
2016,Uruguay,50
2016,Belarus,51
2016,Bulgaria,52
2016,Kazakhstan,53
2016,Panama,54
2016,Costa Rica,55
2016,Malaysia,56
2016,Serbia,57
2016,Georgia,58
2016,Thailand,60
2016,Ukraine,61
2016,Mexico,62
2016,North Macedonia,64
2016,Armenia,65
2016,Peru,66
2016,Ecuador,67
2016,Colombia,68
2016,Moldova,69
2016,Brazil,70
2016,Azerbaijan,71
2016,Lebanon,72
2016,Algeria,73
2016,China,74
2016,Tunisia,75
2016,Mongolia,76
2016,Jordan,77
2016,South Africa,78
2016,India,80
2016,Philippines,81
2016,Indonesia,82
2016,Morocco,84
2016,Nicaragua,85
2016,Nepal,86
2016,Pakistan,88
