LE_at_birth,Access_to_Electricity,Gender Development Index,Human Development Index,Gender Inequality Index
72.319,92.4921875,0.98,0.715398048497761,0.439
77.27560976,99.41924814414911,0.961,0.867,0.17394881870324
75.61707317,100.0,0.9816053063777119,0.829,0.204
53.79363907504559,14.29,0.7700824771221048,0.394,0.725
72.843,99.99343872,0.963,0.727,0.405
76.19219512,100.0,0.958,0.8061309260364901,0.179
70.248,67.0,0.906699754644848,0.6,0.555
56.286435177592,10.1,0.962,0.588,0.5277310492649069
71.56097561,96.84299066474803,0.9571065655047154,0.684,0.362
54.658,17.772025255862356,0.84,0.419798766747794,0.705
77.59341463,100.0,0.9724366637173755,0.864,0.189
71.43953320786606,94.78162384,0.928,0.6734122721900438,0.506
68.813,91.83665466,0.955,0.619,0.531
73.716,100.0,0.915,0.719,0.355
71.89829268,100.0,0.970199858285473,0.7213428529651806,0.3393198283624345
77.13452174709694,100.0,0.978,0.838,0.21846096447368826
67.72690018288637,78.2,0.897,0.583,0.5439719766172224
69.37317073,100.0,1.02,0.729,0.32862452616276216
75.22756098,100.0,0.9863143309421739,0.818,0.104
76.84878049,99.62550981620443,0.982,0.799,0.228
75.3195122,99.2526164403509,0.946,0.835,0.20500483490893942
77.13658537,100.0,0.921,0.769,0.296
69.37707317,100.0,0.976,0.7087111199920307,0.332
77.99195122,100.0,0.983,0.822,0.183
63.537,48.9,0.86,0.532,0.594
73.45135415848755,100.0,0.957,0.743,0.213
76.75853659,100.0,0.9678702262286663,0.793,0.264
77.0195122,100.0,0.9560486602089245,0.783,0.206
79.03682927,99.4874723076661,0.952,0.849,0.161
70.093,97.85468292,0.9302976326523192,0.625,0.5458717897343859
74.216,100.0,0.8478221346243167,0.68,0.584
69.03243902,100.0,0.9841769653940066,0.727,0.416
73.33420207511878,100.0,0.882,0.7611140265758353,0.49462428353836907
69.95609756,84.7025774213622,0.928554503066283,0.633,0.509
66.977,100.0,0.961,0.644,0.375898931775192
77.0,100.0,0.942,0.852,0.1884574521431235
76.03170732,99.49531176599662,0.9793083616074296,0.811,0.237
77.17343905850392,99.69456332965287,0.978,0.845,0.196289586389897
70.58780488,91.08142698258237,0.974,0.6973308868724687,0.43899642515388687
74.01463415,100.0,0.971,0.711,0.251
69.78439024,89.0796289803905,0.948,0.689,0.504
71.08568717486914,96.31013676115435,0.964,0.69,0.282
75.00693165991832,99.91267395,0.9503486188291439,0.747,0.29
76.97121951,100.0,0.9522141193075258,0.764,0.181
50.213,26.91929436,0.757,0.4083635389841117,0.7085381321807883
80.51677472655555,99.66161659482913,0.9715727889768748,0.8986131467225015,0.1
77.51463415,99.55346361400099,0.942,0.853,0.13
56.74758918688245,27.051597325475665,0.795,0.4340879622317501,0.66
69.74949182275107,98.64086402438313,1.013,0.723,0.3464026370252229
72.241,100.0,0.958,0.7447672815921464,0.647
68.21001183518659,100.0,0.9109872182875858,0.8288060222424772,0.3590136305700771
75.36585366,100.0,0.988,0.873,0.16528894375199685
55.83138134410496,24.82269257448008,0.835,0.4449000319961932,0.66
72.43,92.82945251,0.975,0.735,0.4020173628402186
77.37804878,100.0,0.9721240246727841,0.869,0.184
75.81707317,100.0,0.9788249785467986,0.8241871569703556,0.201
49.416542471110965,9.90541935,0.679,0.31358417031589453,0.721
72.915,99.99868774,0.966,0.727,0.405
77.83779373202715,99.50666892478712,0.962,0.835,0.175
69.979,72.22491455,0.891,0.5887489315825976,0.5409478735104484
58.348,9.398226738,0.965,0.5270843715605694,0.572
71.49439024,96.94016351846317,0.979,0.686,0.361
66.67221916707385,42.90472978565563,0.84,0.5560184200380035,0.6347916928723165
77.99219058649166,99.68295603841746,0.984,0.868,0.188
73.9350410790946,98.92753951084057,0.929,0.723,0.3225520417581674
76.21051353978596,92.13265991,1.006017221772937,0.6549843623208927,0.421045293578418
74.177,100.0,0.922,0.7448543914043585,0.36
72.27170732,100.0,0.954,0.7343709013170712,0.284
80.17229239699546,100.0,0.979,0.9007744550760255,0.094
67.83507616609823,82.48540497,0.903,0.593,0.572
65.031,36.31500361760233,0.7113862957256876,0.6116591186520384,0.65
77.5304046252124,100.0,1.0137716539715962,0.6498994873772446,0.384
74.9648139860788,100.0,1.005,0.825,0.2330781999447904
75.88841572718061,100.0,0.984,0.806,0.224
75.8195122,100.0,0.945,0.842,0.162
