Year,Country,Ease_of_Living_Rank
1985,Iceland,1
1985,Norway,2
1985,Canada,3
1985,Sweden,4
1985,Switzerland,5
1985,Netherlands,6
1985,Australia,7
1985,Belgium,8
1985,United States,9
1985,European Union,10
1985,Kuwait,11
1985,Qatar,12
1985,Finland,13
1985,France,14
1985,Bermuda,15
1985,Post-demographic dividend,16
1985,Puerto Rico,17
1985,OECD members,18
1985,Denmark,19
1985,Japan,20
1985,Spain,21
1985,United Kingdom,22
1985,Latvia,23
1985,Austria,24
1985,Germany,25
1985,Lithuania,26
1985,British Virgin Islands,27
1985,Singapore,28
1985,Euro area,29
1985,Bahrain,30
1985,Slovenia,31
1985,Cuba,32
1985,Italy,33
1985,New Zealand,34
1985,Caribbean small states,35
1985,Europe & Central Asia (excluding high income),36
1985,Belize,37
1985,Estonia,39
1985,Montenegro,39
1985,High income,42
1985,Malta,43
1985,Sint Maarten (Dutch part),44
1985,Kosovo,45
1985,Greece,46
1985,Israel,47
1985,Suriname,48
1985,Gibraltar,49
1985,Romania,50
1985,Channel Islands,51
1985,Ukraine,52
1985,United Arab Emirates,53
1985,Dominica,53
1985,Luxembourg,54
1985,Belarus,55
1985,Croatia,56
1985,Malaysia,57
1985,Barbados,59
1985,Jamaica,60
1985,Poland,61
1985,French Polynesia,62
1985,Europe & Central Asia,62
1985,Cyprus,63
1985,Aruba,64
1985,North America,65
1985,Jordan,66
1985,Ireland,67
1985,Europe & Central Asia (IDA & IBRD countries),67
1985,Panama,68
1985,Grenada,69
1985,Small states,71
1985,Armenia,72
1985,North Macedonia,73
1985,Oman,74
1985,Argentina,75
1985,Georgia,76
1985,Brazil,77
1985,New Caledonia,78
1985,Antigua and Barbuda,79
1985,Costa Rica,80
1985,Kazakhstan,80
1985,"Bahamas, The",81
1985,Brunei Darussalam,82
1985,Portugal,83
1985,Bulgaria,84
1985,East Asia & Pacific (excluding high income),86
1985,Fiji,87
1985,Moldova,88
1985,Hungary,89
1985,Uzbekistan,90
1985,Libya,91
1985,Dominican Republic,92
1985,East Asia & Pacific,93
1985,Serbia,94
1985,Albania,95
1985,Late-demographic dividend,96
1985,Upper middle income,97
1985,Curacao,98
1985,Guam,98
1985,East Asia & Pacific (IDA & IBRD countries),100
1985,Azerbaijan,101
1985,St. Martin (French part),102
1985,Isle of Man,103
1985,St. Lucia,104
1985,St. Vincent and the Grenadines,105
1985,Latin America & the Caribbean (IDA & IBRD countries),106
1985,Sri Lanka,107
1985,Latin America & Caribbean (excluding high income),108
1985,Uruguay,109
1985,Virgin Islands (U.S.),110
1985,Turkmenistan,111
1985,Trinidad and Tobago,112
1985,Latin America & Caribbean,113
1985,"Korea, Dem. People's Rep.",114
1985,Chile,116
1985,China,117
1985,Ecuador,117
1985,Tajikistan,118
1985,Central Europe and the Baltics,119
1985,Thailand,120
1985,Greenland,121
1985,Paraguay,122
1985,Botswana,123
1985,Mauritius,124
1985,Pacific island small states,125
1985,St. Kitts and Nevis,126
1985,Turks and Caicos Islands,127
1985,Mexico,128
1985,Tonga,129
1985,Tunisia,130
1985,Colombia,131
1985,"Micronesia, Fed. Sts.",132
1985,Algeria,133
1985,Other small states,134
1985,Vanuatu,135
1985,Kyrgyz Republic,136
1985,Solomon Islands,137
1985,Eswatini,138
1985,Samoa,140
1985,IBRD only,141
1985,Saudi Arabia,142
1985,Cabo Verde,143
1985,World,145
1985,Seychelles,146
1985,Early-demographic dividend,147
1985,Honduras,147
1985,Lao PDR,148
1985,South Africa,149
1985,Cameroon,150
1985,Djibouti,151
1985,Low & middle income,152
1985,Guyana,152
1985,Fragile and conflict affected situations,153
1985,Philippines,154
1985,Marshall Islands,155
1985,Central African Republic,157
1985,IDA total,157
1985,IDA only,157
1985,Cambodia,158
1985,Guatemala,159
1985,Tuvalu,160
1985,South Asia,161
1985,Zimbabwe,162
1985,IDA & IBRD total,163
1985,Middle East & North Africa,165
1985,Eritrea,166
1985,Bangladesh,167
1985,Sao Tome and Principe,168
1985,Ghana,169
1985,Iraq,170
1985,Least developed countries: UN classification,171
1985,Togo,172
1985,Senegal,173
1985,Lower middle income,174
1985,Sub-Saharan Africa (IDA & IBRD countries),175
1985,Bolivia,176
1985,Sub-Saharan Africa (excluding high income),177
1985,Sub-Saharan Africa,177
1985,Sudan,178
1985,Lesotho,179
1985,Mongolia,180
1985,Lebanon,181
1985,Middle income,182
1985,Papua New Guinea,183
1985,Maldives,184
1985,Middle East & North Africa (IDA & IBRD countries),185
1985,Middle East & North Africa (excluding high income),186
1985,El Salvador,187
1985,Benin,188
1985,Morocco,189
1985,Peru,190
1985,Pakistan,191
1985,Kiribati,192
1985,Arab World,193
1985,India,194
1985,Nauru,195
1985,Indonesia,196
1985,Madagascar,197
1985,Haiti,198
1985,South Asia (IDA & IBRD),199
1985,Zambia,200
1985,Heavily indebted poor countries (HIPC),201
1985,Guinea-Bissau,202
1985,"Yemen, Rep.",203
1985,Bhutan,204
1985,Kenya,204
1985,Liberia,205
1985,Ethiopia,206
1985,Gabon,207
1985,Low income,208
1985,Sierra Leone,209
1985,"Congo, Rep.",210
1985,IDA blend,211
1985,Mali,212
1985,Mauritania,213
1985,Burundi,214
1985,Nigeria,215
1985,Burkina Faso,216
1985,Equatorial Guinea,217
1985,Rwanda,218
1985,Namibia,219
1985,Myanmar,220
1985,Malawi,221
1985,Nicaragua,222
1985,South Sudan,223
1985,"Gambia, The",224
1985,"Congo, Dem. Rep.",225
1985,Nepal,226
1985,Comoros,227
1985,Guinea,228
1985,Tanzania,229
1985,Timor-Leste,230
1985,Uganda,231
1985,Somalia,232
1985,Niger,233
1985,Pre-demographic dividend,234
1985,Chad,235
1985,Mozambique,236
1985,Angola,237
1985,Africa Eastern and Southern,238
1985,Africa Western and Central,239
1985,Afghanistan,240
