Year,Country,Institutional_Rank
1995,New Zealand,1
1995,Switzerland,2
1995,Denmark,3
1995,Austria,4
1995,United Kingdom,5
1995,Finland,6
1995,Norway,7
1995,Australia,8
1995,Netherlands,9
1995,Sweden,10
1995,United States,11
1995,Germany,12
1995,Iceland,13
1995,France,14
1995,Canada,15
1995,Singapore,16
1995,Portugal,17
1995,Ireland,18
1995,Israel,19
1995,Belgium,20
1995,Slovenia,21
1995,Japan,22
1995,Hungary,23
1995,Chile,24
1995,Italy,25
1995,Cyprus,26
1995,Spain,27
1995,Uruguay,28
1995,Lithuania,31
1995,Greece,32
1995,Malta,33
1995,Poland,34
1995,Costa Rica,37
1995,Malaysia,38
1995,United Arab Emirates,39
1995,Estonia,40
1995,Bahrain,40
1995,Kuwait,41
1995,Jordan,43
1995,Mongolia,44
1995,Argentina,45
1995,South Africa,46
1995,Panama,47
1995,Latvia,48
1995,India,49
1995,Qatar,50
1995,Thailand,51
1995,Brazil,52
1995,Romania,53
1995,Morocco,54
1995,Bulgaria,55
1995,Moldova,56
1995,Tunisia,57
1995,Mexico,59
1995,Philippines,60
1995,Nicaragua,61
1995,Lebanon,62
1995,Saudi Arabia,63
1995,Nepal,64
1995,Montenegro,65
1995,China,66
1995,Croatia,68
1995,Peru,68
1995,North Macedonia,69
1995,Armenia,71
1995,Ecuador,72
1995,Belarus,73
1995,Colombia,74
1995,Indonesia,75
1995,Pakistan,77
1995,Ukraine,81
1995,Azerbaijan,82
1995,Kazakhstan,83
1995,Algeria,84
1995,Serbia,85
1995,Georgia,86
