Year,Country,Ease_of_Living_Rank
1995,Denmark,1
1995,United States,2
1995,Switzerland,3
1995,Norway,4
1995,Netherlands,5
1995,Germany,6
1995,Japan,7
1995,Australia,8
1995,Austria,9
1995,Belgium,10
1995,Canada,11
1995,Finland,12
1995,United Kingdom,13
1995,Sweden,14
1995,United Arab Emirates,15
1995,Singapore,16
1995,New Zealand,17
1995,France,18
1995,Iceland,19
1995,Qatar,20
1995,Ireland,21
1995,Israel,22
1995,Italy,23
1995,Spain,24
1995,Bahrain,25
1995,Kuwait,26
1995,Portugal,28
1995,Greece,30
1995,Cyprus,31
1995,Slovenia,32
1995,Malta,33
1995,Hungary,36
1995,Poland,37
1995,Uruguay,38
1995,Argentina,39
1995,Chile,41
1995,Lithuania,42
1995,Estonia,43
1995,Saudi Arabia,44
1995,Malaysia,45
1995,Bulgaria,46
1995,Panama,47
1995,Belarus,48
1995,Costa Rica,49
1995,South Africa,50
1995,Latvia,51
1995,Croatia,52
1995,Jordan,52
1995,Kazakhstan,53
1995,Mexico,54
1995,Romania,55
1995,Montenegro,55
1995,Lebanon,56
1995,Ukraine,57
1995,Thailand,58
1995,Brazil,59
1995,North Macedonia,60
1995,Ecuador,61
1995,Mongolia,62
1995,Tunisia,63
1995,Moldova,64
1995,Serbia,66
1995,Peru,68
1995,Armenia,70
1995,Azerbaijan,71
1995,Colombia,73
1995,Philippines,73
1995,Georgia,75
1995,Algeria,76
1995,Morocco,77
1995,China,78
1995,Indonesia,79
1995,Nicaragua,80
1995,India,81
1995,Nepal,83
1995,Pakistan,84
