Year,Country,Ease_of_Living_Rank
2008,Switzerland,1
2008,Australia,2
2008,Canada,3
2008,Norway,4
2008,Germany,5
2008,United States,6
2008,Netherlands,7
2008,Denmark,8
2008,United Kingdom,9
2008,Sweden,10
2008,Ireland,11
2008,Singapore,12
2008,France,13
2008,Austria,14
2008,Qatar,15
2008,Finland,15
2008,Belgium,16
2008,Japan,17
2008,New Zealand,18
2008,Cyprus,20
2008,Iceland,21
2008,United Arab Emirates,22
2008,Spain,23
2008,Italy,25
2008,Israel,26
2008,Kuwait,27
2008,Slovenia,28
2008,Malta,29
2008,Greece,30
2008,Portugal,31
2008,Estonia,32
2008,Bahrain,33
2008,Hungary,36
2008,Poland,37
2008,Chile,39
2008,Lithuania,40
2008,Latvia,41
2008,Croatia,42
2008,Saudi Arabia,43
2008,Malaysia,44
2008,Uruguay,45
2008,Romania,46
2008,Kazakhstan,47
2008,Bulgaria,50
2008,Argentina,51
2008,Mexico,52
2008,Montenegro,53
2008,Jordan,54
2008,Costa Rica,55
2008,Tunisia,56
2008,Panama,57
2008,South Africa,58
2008,Serbia,59
2008,North Macedonia,60
2008,Brazil,60
2008,Lebanon,61
2008,Georgia,62
2008,Thailand,63
2008,Ukraine,64
2008,Belarus,66
2008,Armenia,68
2008,Colombia,69
2008,Moldova,70
2008,China,71
2008,Azerbaijan,71
2008,Mongolia,72
2008,Peru,73
2008,Algeria,74
2008,Ecuador,75
2008,Philippines,77
2008,Morocco,78
2008,Indonesia,80
2008,India,82
2008,Nicaragua,83
2008,Pakistan,84
2008,Nepal,85
