Year,Country,Institutional_Rank
2008,Denmark,1
2008,Finland,2
2008,Sweden,3
2008,Singapore,4
2008,Switzerland,5
2008,New Zealand,6
2008,Iceland,7
2008,Norway,8
2008,Australia,9
2008,Austria,10
2008,Netherlands,11
2008,Canada,11
2008,Ireland,12
2008,United Kingdom,14
2008,Germany,15
2008,United States,16
2008,France,17
2008,Belgium,18
2008,Malta,19
2008,Japan,20
2008,Cyprus,21
2008,Chile,22
2008,Estonia,23
2008,Spain,24
2008,Portugal,25
2008,Slovenia,26
2008,Israel,27
2008,Hungary,29
2008,Uruguay,31
2008,Qatar,34
2008,United Arab Emirates,35
2008,Greece,36
2008,Latvia,37
2008,Lithuania,38
2008,Poland,39
2008,Italy,40
2008,Costa Rica,41
2008,Bahrain,42
2008,Malaysia,43
2008,Kuwait,44
2008,Jordan,45
2008,Croatia,46
2008,South Africa,47
2008,Panama,49
2008,Tunisia,50
2008,Bulgaria,51
2008,Romania,52
2008,Georgia,53
2008,Montenegro,54
2008,Saudi Arabia,55
2008,Brazil,56
2008,India,57
2008,North Macedonia,58
2008,Thailand,59
2008,Colombia,60
2008,Mexico,61
2008,Armenia,62
2008,Serbia,63
2008,China,64
2008,Peru,65
2008,Morocco,66
2008,Mongolia,67
2008,Philippines,70
2008,Argentina,71
2008,Indonesia,73
2008,Moldova,74
2008,Lebanon,75
2008,Ukraine,76
2008,Kazakhstan,77
2008,Algeria,78
2008,Nicaragua,79
2008,Nepal,80
2008,Azerbaijan,82
2008,Ecuador,84
2008,Pakistan,85
2008,Belarus,87
