Year,Country,Quality_of_Life_Rank
2008,Norway,1
2008,Switzerland,2
2008,Germany,4
2008,Australia,5
2008,Denmark,6
2008,New Zealand,7
2008,Finland,8
2008,Netherlands,9
2008,Canada,10
2008,Belgium,11
2008,United States,12
2008,Sweden,12
2008,Iceland,13
2008,United Kingdom,14
2008,Ireland,16
2008,Austria,17
2008,Japan,18
2008,Singapore,19
2008,Slovenia,20
2008,Israel,21
2008,Italy,22
2008,France,24
2008,Greece,25
2008,Spain,27
2008,Cyprus,28
2008,Estonia,29
2008,Malta,30
2008,Lithuania,31
2008,Qatar,31
2008,United Arab Emirates,32
2008,Poland,34
2008,Latvia,35
2008,Argentina,36
2008,Hungary,37
2008,Portugal,38
2008,Croatia,39
2008,Chile,40
2008,Bahrain,41
2008,Kuwait,42
2008,Romania,43
2008,Saudi Arabia,44
2008,Montenegro,45
2008,Belarus,47
2008,Bulgaria,48
2008,Uruguay,49
2008,Panama,50
2008,Serbia,51
2008,Costa Rica,52
2008,Ukraine,53
2008,Lebanon,54
2008,Kazakhstan,55
2008,Malaysia,56
2008,Georgia,57
2008,Mexico,58
2008,Armenia,59
2008,Jordan,61
2008,North Macedonia,62
2008,Ecuador,63
2008,Thailand,64
2008,Moldova,65
2008,Azerbaijan,68
2008,Colombia,69
2008,Brazil,70
2008,Tunisia,71
2008,Peru,72
2008,Algeria,73
2008,Mongolia,74
2008,China,75
2008,Philippines,76
2008,South Africa,80
2008,Indonesia,81
2008,Nicaragua,82
2008,Morocco,83
2008,India,84
2008,Nepal,85
2008,Pakistan,86
