Year,Country,Economic_Rank
2002,United States,1
2002,Netherlands,2
2002,Switzerland,3
2002,Norway,4
2002,Denmark,5
2002,Qatar,6
2002,Japan,7
2002,United Arab Emirates,8
2002,Germany,9
2002,Iceland,10
2002,Ireland,11
2002,Belgium,12
2002,Finland,13
2002,United Kingdom,14
2002,France,15
2002,Sweden,16
2002,Canada,18
2002,Italy,19
2002,Austria,20
2002,Singapore,21
2002,Australia,22
2002,Israel,23
2002,Slovenia,24
2002,Kuwait,25
2002,Bahrain,26
2002,Spain,27
2002,Greece,28
2002,New Zealand,29
2002,Malta,32
2002,Saudi Arabia,33
2002,Panama,34
2002,Poland,36
2002,Cyprus,37
2002,Portugal,38
2002,Malaysia,40
2002,Lithuania,41
2002,Argentina,42
2002,Peru,43
2002,Mexico,44
2002,Chile,45
2002,Estonia,46
2002,Thailand,47
2002,Montenegro,48
2002,Uruguay,49
2002,North Macedonia,50
2002,Latvia,51
2002,Algeria,51
2002,Pakistan,52
2002,Bulgaria,54
2002,Lebanon,55
2002,Hungary,55
2002,Croatia,56
2002,Ecuador,57
2002,South Africa,59
2002,Colombia,61
2002,Tunisia,61
2002,Nepal,62
2002,Brazil,64
2002,China,65
2002,Jordan,66
2002,Morocco,67
2002,Nicaragua,68
2002,Philippines,69
2002,India,70
2002,Ukraine,71
2002,Serbia,72
2002,Azerbaijan,74
2002,Mongolia,75
2002,Armenia,76
2002,Costa Rica,77
2002,Kazakhstan,78
2002,Georgia,79
2002,Romania,80
2002,Belarus,83
2002,Indonesia,84
2002,Moldova,85
