Year,Country,Quality_of_Life_Rank
2002,Norway,1
2002,Sweden,2
2002,Finland,3
2002,Australia,5
2002,Germany,6
2002,New Zealand,7
2002,Denmark,8
2002,Canada,9
2002,United States,10
2002,Netherlands,11
2002,Belgium,12
2002,Switzerland,13
2002,Iceland,14
2002,Japan,15
2002,Austria,16
2002,United Kingdom,17
2002,Ireland,18
2002,Israel,20
2002,Italy,21
2002,France,22
2002,Slovenia,23
2002,Singapore,24
2002,Spain,25
2002,Greece,26
2002,Cyprus,28
2002,Qatar,29
2002,Estonia,30
2002,Poland,31
2002,Bahrain,32
2002,United Arab Emirates,33
2002,Malta,34
2002,Portugal,35
2002,Hungary,36
2002,Lithuania,37
2002,Argentina,38
2002,Kuwait,39
2002,Latvia,41
2002,Croatia,42
2002,Chile,43
2002,Uruguay,44
2002,Saudi Arabia,45
2002,Montenegro,46
2002,Bulgaria,47
2002,Panama,48
2002,Romania,49
2002,Lebanon,50
2002,Malaysia,51
2002,Costa Rica,52
2002,Ukraine,53
2002,Belarus,54
2002,Mexico,55
2002,Georgia,56
2002,Kazakhstan,57
2002,Serbia,58
2002,Ecuador,60
2002,Brazil,61
2002,Jordan,62
2002,Peru,63
2002,North Macedonia,64
2002,Thailand,66
2002,Armenia,67
2002,Tunisia,69
2002,Colombia,70
2002,Moldova,71
2002,Algeria,72
2002,Philippines,73
2002,Azerbaijan,74
2002,South Africa,76
2002,Mongolia,77
2002,Indonesia,78
2002,China,80
2002,Nicaragua,82
2002,Morocco,83
2002,India,84
2002,Nepal,85
2002,Pakistan,86
