Year,Country,Quality_of_Life_Rank
1993,United States,1
1993,Australia,2
1993,Canada,3
1993,Switzerland,4
1993,Norway,5
1993,Netherlands,6
1993,Japan,7
1993,Germany,8
1993,Belgium,9
1993,Denmark,10
1993,Sweden,11
1993,Austria,12
1993,New Zealand,13
1993,Finland,14
1993,Iceland,15
1993,United Kingdom,16
1993,France,19
1993,Israel,20
1993,Italy,21
1993,Spain,22
1993,Greece,23
1993,Cyprus,24
1993,Qatar,25
1993,Ireland,27
1993,Bahrain,28
1993,Singapore,29
1993,United Arab Emirates,31
1993,Malta,32
1993,Slovenia,33
1993,Portugal,34
1993,Argentina,35
1993,Poland,36
1993,Croatia,37
1993,Hungary,38
1993,Chile,39
1993,Uruguay,40
1993,Estonia,41
1993,Kuwait,43
1993,Belarus,44
1993,Ukraine,45
1993,Saudi Arabia,47
1993,Lithuania,48
1993,Lebanon,49
1993,Latvia,49
1993,Bulgaria,50
1993,Georgia,51
1993,Panama,52
1993,Costa Rica,53
1993,Romania,54
1993,Montenegro,55
1993,Serbia,56
1993,Mexico,57
1993,North Macedonia,58
1993,Kazakhstan,59
1993,Malaysia,60
1993,Ecuador,61
1993,South Africa,62
1993,Jordan,64
1993,Colombia,65
1993,Moldova,66
1993,Brazil,68
1993,Peru,69
1993,Azerbaijan,70
1993,Armenia,72
1993,Philippines,73
1993,Thailand,74
1993,Algeria,75
1993,Tunisia,76
1993,Mongolia,79
1993,Indonesia,80
1993,China,81
1993,Nicaragua,83
1993,Morocco,84
1993,India,85
1993,Nepal,86
1993,Pakistan,87
