Year,Country,Ease_of_Living_Rank
1993,Switzerland,1
1993,United States,2
1993,Denmark,3
1993,Australia,4
1993,Japan,5
1993,Germany,6
1993,Austria,7
1993,France,8
1993,United Kingdom,9
1993,Finland,10
1993,New Zealand,11
1993,Norway,12
1993,United Arab Emirates,13
1993,Netherlands,14
1993,Canada,15
1993,Qatar,16
1993,Belgium,17
1993,Sweden,18
1993,Israel,19
1993,Iceland,20
1993,Italy,21
1993,Bahrain,22
1993,Ireland,24
1993,Singapore,25
1993,Kuwait,26
1993,Spain,28
1993,Slovenia,29
1993,Greece,31
1993,Cyprus,32
1993,Portugal,33
1993,Lithuania,34
1993,Hungary,35
1993,Malta,36
1993,Poland,39
1993,Saudi Arabia,40
1993,Uruguay,41
1993,Argentina,43
1993,Croatia,44
1993,Belarus,45
1993,Bulgaria,46
1993,Panama,47
1993,Latvia,47
1993,Estonia,48
1993,Jordan,49
1993,Chile,50
1993,Malaysia,51
1993,Romania,52
1993,Lebanon,53
1993,Mexico,54
1993,Ukraine,55
1993,Kazakhstan,56
1993,Costa Rica,57
1993,Azerbaijan,58
1993,Moldova,59
1993,North Macedonia,60
1993,Montenegro,60
1993,Mongolia,61
1993,Brazil,62
1993,Serbia,63
1993,Thailand,64
1993,South Africa,66
1993,Georgia,67
1993,Ecuador,68
1993,Armenia,72
1993,Tunisia,73
1993,Algeria,74
1993,Colombia,75
1993,Philippines,77
1993,Peru,78
1993,China,79
1993,Nicaragua,80
1993,India,81
1993,Indonesia,82
1993,Morocco,83
1993,Pakistan,84
1993,Nepal,85
