Year,Country,Sustainability_Rank
2013,Qatar,1
2013,Kuwait,2
2013,Bahrain,3
2013,United Arab Emirates,4
2013,Saudi Arabia,5
2013,Kazakhstan,6
2013,Australia,7
2013,United States,8
2013,Canada,9
2013,Estonia,12
2013,Japan,13
2013,Singapore,14
2013,Netherlands,15
2013,Israel,16
2013,Malaysia,20
2013,South Africa,21
2013,Belgium,22
2013,Germany,23
2013,Mongolia,24
2013,United Kingdom,25
2013,Ireland,26
2013,Poland,27
2013,Ukraine,28
2013,China,29
2013,Belarus,30
2013,Malta,31
2013,Algeria,33
2013,Cyprus,34
2013,Greece,35
2013,Lebanon,36
2013,Serbia,37
2013,Slovenia,37
2013,Azerbaijan,39
2013,Argentina,40
2013,France,42
2013,Jordan,43
2013,Mexico,44
2013,Bulgaria,45
2013,Italy,46
2013,Finland,47
2013,Switzerland,49
2013,New Zealand,51
2013,Austria,52
2013,Spain,53
2013,Hungary,55
2013,Armenia,56
2013,Ecuador,57
2013,North Macedonia,58
2013,Denmark,59
2013,Tunisia,60
2013,Thailand,61
2013,Morocco,62
2013,Romania,63
2013,Chile,64
2013,Panama,65
2013,Moldova,66
2013,Lithuania,67
2013,Croatia,68
2013,Norway,69
2013,Portugal,70
2013,Peru,71
2013,Georgia,72
2013,Latvia,73
2013,Indonesia,74
2013,Colombia,75
2013,Sweden,76
2013,India,78
2013,Montenegro,79
2013,Brazil,80
2013,Philippines,81
2013,Costa Rica,82
2013,Uruguay,83
2013,Pakistan,84
2013,Iceland,85
2013,Nicaragua,86
2013,Nepal,87
