Year,Country,Quality_of_Life_Rank
2013,Norway,1
2013,Switzerland,2
2013,Germany,3
2013,Denmark,4
2013,Sweden,5
2013,Iceland,6
2013,Netherlands,7
2013,Australia,7
2013,New Zealand,8
2013,Finland,9
2013,Singapore,11
2013,Canada,11
2013,United Kingdom,12
2013,United States,14
2013,Belgium,15
2013,Japan,16
2013,Ireland,17
2013,Austria,18
2013,Israel,19
2013,Slovenia,21
2013,France,22
2013,Italy,23
2013,Spain,25
2013,Estonia,26
2013,Malta,27
2013,Greece,28
2013,Poland,29
2013,Cyprus,30
2013,Lithuania,31
2013,United Arab Emirates,32
2013,Portugal,34
2013,Argentina,35
2013,Saudi Arabia,36
2013,Latvia,37
2013,Hungary,38
2013,Croatia,39
2013,Chile,40
2013,Qatar,41
2013,Bahrain,42
2013,Kuwait,43
2013,Montenegro,44
2013,Romania,46
2013,Belarus,47
2013,Bulgaria,48
2013,Uruguay,49
2013,Kazakhstan,51
2013,Costa Rica,52
2013,Panama,53
2013,Serbia,54
2013,Malaysia,55
2013,Georgia,56
2013,Ukraine,57
2013,Armenia,59
2013,Mexico,60
2013,Lebanon,61
2013,Ecuador,62
2013,North Macedonia,64
2013,Brazil,65
2013,Peru,66
2013,Thailand,67
2013,Moldova,68
2013,Colombia,69
2013,Azerbaijan,70
2013,Algeria,71
2013,Tunisia,72
2013,Mongolia,73
2013,Jordan,74
2013,China,75
2013,South Africa,76
2013,Philippines,78
2013,Indonesia,79
2013,Morocco,81
2013,Nicaragua,82
2013,India,83
2013,Nepal,85
2013,Pakistan,86
