Year,Country,Quality_of_Life_Rank
1984,Switzerland,1
1984,Spain,2
1984,Japan,3
1984,Netherlands,4
1984,Norway,5
1984,Gibraltar,6
1984,Greece,7
1984,Belgium,8
1984,Sweden,9
1984,Canada,10
1984,Italy,11
1984,Australia,12
1984,Bermuda,13
1984,Channel Islands,14
1984,Finland,15
1984,United States,16
1984,Euro area,17
1984,Puerto Rico,18
1984,Singapore,19
1984,Austria,20
1984,Germany,21
1984,European Union,22
1984,OECD members,23
1984,Denmark,24
1984,United Kingdom,25
1984,Kuwait,26
1984,Iceland,27
1984,Israel,28
1984,Cuba,29
1984,Post-demographic dividend,31
1984,France,32
1984,Barbados,33
1984,Ukraine,34
1984,Montenegro,35
1984,High income,36
1984,Georgia,38
1984,Slovenia,39
1984,Sint Maarten (Dutch part),40
1984,Aruba,41
1984,Portugal,42
1984,Qatar,42
1984,Lithuania,43
1984,Europe & Central Asia,44
1984,Bulgaria,44
1984,New Zealand,45
1984,Ireland,46
1984,Bahrain,47
1984,Luxembourg,49
1984,Poland,50
1984,Argentina,52
1984,Seychelles,53
1984,Uruguay,54
1984,Moldova,55
1984,Romania,56
1984,Hungary,57
1984,Malta,58
1984,Cyprus,59
1984,British Virgin Islands,60
1984,Costa Rica,61
1984,Croatia,62
1984,North Macedonia,63
1984,Latvia,64
1984,North America,65
1984,Antigua and Barbuda,66
1984,Panama,67
1984,Virgin Islands (U.S.),68
1984,Malaysia,69
1984,St. Martin (French part),70
1984,Kosovo,71
1984,Europe & Central Asia (IDA & IBRD countries),72
1984,Curacao,73
1984,Sri Lanka,74
1984,French Polynesia,75
1984,Trinidad and Tobago,76
1984,Guam,77
1984,Kazakhstan,78
1984,Europe & Central Asia (excluding high income),80
1984,St. Vincent and the Grenadines,81
1984,Dominica,83
1984,United Arab Emirates,84
1984,St. Lucia,85
1984,Central Europe and the Baltics,86
1984,Grenada,87
1984,Suriname,88
1984,Estonia,89
1984,Chile,90
1984,Albania,91
1984,Armenia,92
1984,East Asia & Pacific (excluding high income),93
1984,"Bahamas, The",94
1984,Isle of Man,94
1984,China,95
1984,Brunei Darussalam,96
1984,Colombia,97
1984,East Asia & Pacific,98
1984,Caribbean small states,99
1984,St. Kitts and Nevis,99
1984,Ecuador,100
1984,Small states,101
1984,Oman,102
1984,Jordan,103
1984,Jamaica,104
1984,Turks and Caicos Islands,105
1984,Paraguay,106
1984,Botswana,107
1984,Latin America & the Caribbean (IDA & IBRD countries),108
1984,"Micronesia, Fed. Sts.",110
1984,Pacific island small states,110
1984,Brazil,111
1984,Late-demographic dividend,112
1984,Tunisia,113
1984,Tonga,113
1984,Libya,114
1984,Serbia,115
1984,Latin America & Caribbean,116
1984,"Korea, Dem. People's Rep.",117
1984,Upper middle income,119
1984,Uzbekistan,120
1984,Mauritius,121
1984,Tajikistan,122
1984,Belize,123
1984,Mexico,124
1984,Latin America & Caribbean (excluding high income),126
1984,East Asia & Pacific (IDA & IBRD countries),126
1984,Saudi Arabia,127
1984,Solomon Islands,128
1984,Belarus,129
1984,Fiji,130
1984,Dominican Republic,131
1984,South Asia (IDA & IBRD),132
1984,Greenland,133
1984,Vanuatu,134
1984,South Asia,135
1984,Cabo Verde,136
1984,Philippines,137
1984,Other small states,138
1984,World,140
1984,Samoa,141
1984,Tuvalu,142
1984,Turkmenistan,143
1984,Thailand,144
1984,New Caledonia,145
1984,IDA & IBRD total,146
1984,IBRD only,147
