Year,Country,Quality_of_Life_Rank
1982,Sweden,1
1982,Spain,2
1982,Switzerland,3
1982,Japan,4
1982,Netherlands,5
1982,Norway,6
1982,Australia,8
1982,United States,9
1982,Israel,10
1982,Finland,11
1982,United Kingdom,12
1982,Canada,13
1982,France,14
1982,Bermuda,15
1982,Belgium,15
1982,Post-demographic dividend,16
1982,Puerto Rico,17
1982,Iceland,18
1982,New Zealand,19
1982,Germany,20
1982,Ireland,21
1982,Denmark,21
1982,Austria,22
1982,Costa Rica,23
1982,Euro area,24
1982,Channel Islands,25
1982,Italy,26
1982,OECD members,28
1982,Singapore,29
1982,Greece,30
1982,Gibraltar,31
1982,Ukraine,32
1982,Barbados,33
1982,European Union,34
1982,Slovenia,35
1982,Sint Maarten (Dutch part),36
1982,Dominica,37
1982,Cuba,38
1982,Portugal,40
1982,Qatar,41
1982,Aruba,42
1982,Bulgaria,43
1982,Poland,44
1982,Tunisia,45
1982,Luxembourg,46
1982,Uruguay,47
1982,Lithuania,48
1982,North Macedonia,49
1982,Europe & Central Asia (IDA & IBRD countries),50
1982,Hungary,51
1982,Montenegro,52
1982,Romania,53
1982,Moldova,54
1982,Panama,55
1982,High income,56
1982,"Korea, Dem. People's Rep.",57
1982,Cyprus,58
1982,North America,59
1982,Georgia,61
1982,Virgin Islands (U.S.),62
1982,Kuwait,63
1982,St. Martin (French part),64
1982,Croatia,65
1982,Curacao,66
1982,Antigua and Barbuda,67
1982,Latvia,68
1982,Trinidad and Tobago,69
1982,Kosovo,70
1982,Argentina,71
1982,Serbia,71
1982,Malta,73
1982,Albania,74
1982,Europe & Central Asia,75
1982,Europe & Central Asia (excluding high income),76
1982,Central Europe and the Baltics,77
1982,Chile,77
1982,British Virgin Islands,78
1982,Brunei Darussalam,79
1982,Bahrain,81
1982,Malaysia,82
1982,Jamaica,83
1982,Guam,83
1982,Small states,84
1982,Isle of Man,85
1982,Sri Lanka,86
1982,French Polynesia,87
1982,"Bahamas, The",88
1982,Armenia,89
1982,Colombia,90
1982,East Asia & Pacific,91
1982,Grenada,92
1982,Caribbean small states,93
1982,St. Vincent and the Grenadines,94
1982,China,96
1982,Estonia,97
1982,St. Kitts and Nevis,98
1982,Belarus,99
1982,Tonga,100
1982,Turks and Caicos Islands,101
1982,United Arab Emirates,102
1982,Samoa,103
1982,St. Lucia,105
1982,Kazakhstan,106
1982,Thailand,107
1982,Jordan,108
1982,Libya,109
1982,Botswana,110
1982,Paraguay,110
1982,Late-demographic dividend,111
1982,Mexico,112
1982,Upper middle income,113
1982,Brazil,114
1982,Seychelles,115
1982,Belize,116
1982,Mauritius,117
1982,Solomon Islands,118
1982,"Micronesia, Fed. Sts.",119
1982,Saudi Arabia,120
1982,Latin America & Caribbean,121
1982,East Asia & Pacific (IDA & IBRD countries),122
1982,Ecuador,123
1982,East Asia & Pacific (excluding high income),123
1982,Uzbekistan,125
1982,Dominican Republic,126
1982,Latin America & Caribbean (excluding high income),128
1982,Fiji,129
1982,Greenland,130
1982,Turkmenistan,131
1982,Cabo Verde,132
1982,New Caledonia,133
1982,Latin America & the Caribbean (IDA & IBRD countries),134
1982,Tuvalu,135
1982,IBRD only,136
1982,Vanuatu,137
1982,Eswatini,139
1982,Tajikistan,140
1982,Suriname,141
1982,World,142
1982,Kyrgyz Republic,143
1982,Togo,144
1982,Oman,145
1982,Zimbabwe,146
1982,Zambia,147
1982,Pacific island small states,148
1982,Philippines,149
1982,Other small states,150
1982,Low & middle income,151
1982,Guyana,152
1982,Marshall Islands,153
1982,Nauru,154
1982,Honduras,155
1982,IDA & IBRD total,156
1982,Gabon,157
1982,Azerbaijan,158
1982,Middle income,159
1982,Sao Tome and Principe,160
1982,"Yemen, Rep.",161
1982,IDA blend,162
1982,Early-demographic dividend,163
1982,India,164
1982,Indonesia,165
1982,South Africa,167
1982,Iraq,168
1982,Lower middle income,169
1982,Kenya,170
1982,El Salvador,171
1982,Myanmar,172
1982,Bolivia,173
1982,South Asia,174
1982,Nicaragua,175
1982,Kiribati,176
1982,"Gambia, The",177
1982,"Congo, Rep.",178
1982,Heavily indebted poor countries (HIPC),179
1982,Middle East & North Africa (excluding high income),180
1982,Peru,181
1982,IDA total,182
1982,Cameroon,183
1982,Fragile and conflict affected situations,184
1982,Guatemala,185
1982,Namibia,186
1982,Lesotho,187
1982,Djibouti,188
1982,Middle East & North Africa (IDA & IBRD countries),189
1982,Ghana,190
1982,Middle East & North Africa,192
1982,Haiti,193
1982,IDA only,193
1982,Algeria,194
1982,Equatorial Guinea,195
1982,Bangladesh,196
1982,Pakistan,197
1982,Madagascar,198
1982,"Congo, Dem. Rep.",199
1982,Arab World,199
1982,Sudan,200
1982,Cambodia,201
1982,Nigeria,202
1982,Maldives,203
1982,Bhutan,204
1982,Comoros,205
1982,South Asia (IDA & IBRD),206
1982,Papua New Guinea,207
1982,Mauritania,208
1982,Morocco,209
1982,Mongolia,210
1982,Senegal,211
1982,Tanzania,212
1982,Liberia,213
1982,Central African Republic,214
1982,Lao PDR,215
1982,Timor-Leste,216
1982,Low income,217
1982,Rwanda,217
1982,Lebanon,218
1982,Least developed countries: UN classification,219
1982,Chad,220
1982,Niger,221
1982,Burkina Faso,222
1982,Pre-demographic dividend,223
1982,Burundi,223
1982,Somalia,223
1982,Malawi,223
1982,Ethiopia,224
1982,Sub-Saharan Africa (IDA & IBRD countries),225
1982,Guinea-Bissau,226
1982,Guinea,227
1982,Mali,228
1982,Eritrea,229
1982,South Sudan,230
1982,Sub-Saharan Africa (excluding high income),231
1982,Sub-Saharan Africa,232
1982,Nepal,233
1982,Sierra Leone,234
1982,Mozambique,235
1982,Benin,236
1982,Uganda,237
1982,Angola,238
1982,Africa Eastern and Southern,239
1982,Africa Western and Central,240
1982,Afghanistan,241
