Year,Country,Institutional_Rank
1976,Indonesia,1
1976,United Kingdom,2
1976,South Africa,3
1976,Ecuador,5
1976,Slovenia,6
1976,Belarus,7
1976,Philippines,8
1976,Grenada,9
1976,British Virgin Islands,10
1976,Brunei Darussalam,10
1976,Morocco,12
1976,Dominica,13
1976,Spain,14
1976,Pakistan,15
1976,Cyprus,16
1976,United States,17
1976,Belgium,18
1976,France,19
1976,Germany,20
1976,Argentina,21
1976,Denmark,22
1976,Algeria,23
1976,Bahrain,24
1976,Costa Rica,25
1976,Switzerland,26
1976,Montenegro,27
1976,European Union,28
1976,Austria,29
1976,Qatar,30
1976,Sint Maarten (Dutch part),31
1976,Singapore,32
1976,Jamaica,33
1976,Samoa,34
1976,North America,35
1976,Luxembourg,36
1976,Channel Islands,37
1976,Albania,38
1976,Lithuania,39
1976,"Bahamas, The",40
1976,Norway,41
1976,Romania,42
1976,St. Vincent and the Grenadines,43
1976,Post-demographic dividend,44
1976,Puerto Rico,44
1976,OECD members,45
1976,Europe & Central Asia,46
1976,Poland,47
1976,Turks and Caicos Islands,48
1976,Guam,49
1976,New Zealand,50
1976,Mexico,51
1976,Thailand,52
1976,Netherlands,53
1976,Sweden,54
1976,Hungary,55
1976,Bermuda,56
1976,Iceland,57
1976,Armenia,59
1976,Serbia,60
1976,Australia,62
1976,Aruba,63
1976,Gibraltar,66
1976,Ireland,67
1976,Panama,68
1976,Sri Lanka,69
1976,Chile,70
1976,Belize,71
1976,New Caledonia,72
1976,St. Lucia,73
1976,Canada,74
1976,"Korea, Dem. People's Rep.",75
1976,Peru,77
1976,Estonia,78
1976,Europe & Central Asia (IDA & IBRD countries),79
1976,Tonga,80
1976,St. Martin (French part),81
1976,Ukraine,82
1976,Isle of Man,83
1976,Latvia,84
1976,St. Kitts and Nevis,85
1976,Malta,86
1976,Trinidad and Tobago,87
1976,High income,88
1976,Kosovo,89
1976,Tunisia,90
1976,Cuba,91
1976,Paraguay,92
1976,Caribbean small states,93
1976,Suriname,94
1976,Uruguay,95
1976,Virgin Islands (U.S.),96
1976,Finland,97
1976,Georgia,99
1976,Bulgaria,100
1976,French Polynesia,101
1976,Central Europe and the Baltics,102
1976,Curacao,102
1976,North Macedonia,103
1976,Barbados,104
1976,Europe & Central Asia (excluding high income),105
1976,Tajikistan,107
1976,Kuwait,108
1976,Moldova,109
1976,Euro area,110
1976,Italy,111
1976,Croatia,112
1976,Jordan,113
1976,El Salvador,115
1976,Israel,116
1976,Eritrea,117
1976,Papua New Guinea,117
1976,Cambodia,117
1976,Rwanda,117
1976,Middle East & North Africa,117
1976,Middle East & North Africa (IDA & IBRD countries),117
1976,Low income,117
1976,Sierra Leone,117
1976,Middle East & North Africa (excluding high income),117
1976,Liberia,117
1976,Ethiopia,117
1976,Namibia,117
1976,Senegal,117
1976,Central African Republic,117
1976,Heavily indebted poor countries (HIPC),117
1976,Bangladesh,117
1976,Middle income,117
1976,Myanmar,117
1976,Mozambique,117
1976,Burundi,117
1976,"Congo, Dem. Rep.",117
1976,Somalia,117
1976,Least developed countries: UN classification,117
1976,Equatorial Guinea,117
1976,South Sudan,117
1976,Pre-demographic dividend,117
1976,Niger,117
1976,Tanzania,117
1976,Nigeria,117
1976,Angola,117
1976,Africa Eastern and Southern,117
1976,Chad,117
1976,Malawi,117
1976,South Asia (IDA & IBRD),117
1976,Madagascar,117
1976,Uganda,117
1976,Benin,117
1976,Togo,117
1976,Burkina Faso,117
1976,South Asia,117
1976,Mali,117
1976,Timor-Leste,117
1976,Africa Western and Central,117
1976,Sub-Saharan Africa (IDA & IBRD countries),117
1976,Sub-Saharan Africa,117
1976,Lao PDR,117
1976,Afghanistan,117
1976,Sub-Saharan Africa (excluding high income),117
1976,Cameroon,118
1976,Comoros,118
1976,Nicaragua,119
1976,IDA blend,120
1976,Kyrgyz Republic,120
1976,Cabo Verde,121
1976,Bhutan,122
1976,IDA & IBRD total,123
1976,Iraq,124
1976,Mauritania,125
1976,Arab World,126
1976,Solomon Islands,128
1976,Lesotho,128
1976,Bolivia,129
1976,Oman,130
1976,IDA total,131
1976,Low & middle income,131
1976,Haiti,132
1976,Gabon,133
1976,Kiribati,133
1976,Antigua and Barbuda,134
1976,East Asia & Pacific (IDA & IBRD countries),135
1976,Lower middle income,136
1976,"Congo, Rep.",137
1976,Vanuatu,138
1976,Guinea-Bissau,138
1976,Sao Tome and Principe,138
1976,Guatemala,139
1976,Botswana,140
1976,Kenya,141
1976,Other small states,141
1976,East Asia & Pacific (excluding high income),142
1976,Malaysia,143
1976,Early-demographic dividend,144
1976,Djibouti,144
1976,IDA only,145
1976,Zimbabwe,146
1976,Guinea,147
1976,"Gambia, The",147
1976,Ghana,148
1976,Fragile and conflict affected situations,148
1976,Eswatini,148
1976,Upper middle income,149
1976,Greece,150
1976,Honduras,151
1976,Turkmenistan,152
1976,Marshall Islands,153
1976,"Yemen, Rep.",153
1976,Zambia,153
1976,Portugal,154
1976,Pacific island small states,155
1976,IBRD only,156
1976,Nauru,157
1976,Sudan,158
1976,Maldives,158
1976,Guyana,159
1976,Latin America & the Caribbean (IDA & IBRD countries),160
1976,Fiji,161
1976,Latin America & Caribbean (excluding high income),162
1976,Mauritius,163
1976,Libya,164
1976,Dominican Republic,164
1976,Tuvalu,165
1976,Mongolia,166
1976,Small states,167
1976,Latin America & Caribbean,168
1976,Japan,169
1976,Late-demographic dividend,170
1976,World,171
1976,"Micronesia, Fed. Sts.",172
1976,Uzbekistan,173
1976,East Asia & Pacific,174
1976,Nepal,176
1976,United Arab Emirates,178
1976,Kazakhstan,179
1976,Colombia,180
1976,Azerbaijan,181
1976,India,182
1976,China,183
1976,Brazil,184
1976,Saudi Arabia,185
1976,Lebanon,186
