Year,Country,Ease_of_Living_Rank
1976,Slovenia,1
1976,Switzerland,2
1976,Qatar,3
1976,Sweden,4
1976,United States,5
1976,Puerto Rico,7
1976,Poland,8
1976,Iceland,9
1976,Canada,10
1976,Sint Maarten (Dutch part),11
1976,Australia,12
1976,North America,13
1976,Norway,14
1976,Lithuania,14
1976,United Kingdom,15
1976,Denmark,17
1976,Netherlands,18
1976,Singapore,19
1976,Kuwait,20
1976,Montenegro,21
1976,Channel Islands,22
1976,Argentina,23
1976,Spain,24
1976,Latvia,25
1976,Austria,26
1976,European Union,27
1976,Euro area,28
1976,Germany,29
1976,France,30
1976,OECD members,31
1976,Croatia,32
1976,Dominica,33
1976,Italy,34
1976,Cuba,34
1976,Europe & Central Asia (IDA & IBRD countries),34
1976,Belgium,35
1976,Romania,36
1976,Greece,37
1976,United Arab Emirates,38
1976,Bulgaria,39
1976,Europe & Central Asia,40
1976,Estonia,40
1976,Hungary,41
1976,Bermuda,41
1976,Aruba,42
1976,Brunei Darussalam,43
1976,British Virgin Islands,43
1976,Costa Rica,45
1976,Cyprus,46
1976,Israel,47
1976,Post-demographic dividend,48
1976,Belarus,50
1976,High income,51
1976,Grenada,52
1976,Luxembourg,53
1976,Kosovo,54
1976,Tajikistan,55
1976,Bahrain,56
1976,Gibraltar,57
1976,Finland,58
1976,Samoa,59
1976,"Korea, Dem. People's Rep.",60
1976,Barbados,61
1976,Antigua and Barbuda,62
1976,Guam,63
1976,Georgia,64
1976,Portugal,65
1976,New Zealand,66
1976,Uruguay,68
1976,Japan,69
1976,Ireland,70
1976,St. Martin (French part),71
1976,Malta,72
1976,St. Kitts and Nevis,73
1976,Trinidad and Tobago,74
1976,"Bahamas, The",75
1976,Curacao,76
1976,Central Europe and the Baltics,77
1976,Jamaica,78
1976,Armenia,79
1976,Suriname,79
1976,Serbia,80
1976,Chile,81
1976,North Macedonia,83
1976,Caribbean small states,84
1976,Belize,85
1976,New Caledonia,86
1976,Turks and Caicos Islands,87
1976,St. Vincent and the Grenadines,88
1976,Albania,88
1976,Sri Lanka,89
1976,Ukraine,90
1976,Panama,91
1976,Isle of Man,92
1976,Europe & Central Asia (excluding high income),93
1976,Malaysia,94
1976,French Polynesia,94
1976,Virgin Islands (U.S.),94
1976,St. Lucia,95
1976,Paraguay,97
1976,Tonga,99
1976,Moldova,100
1976,Upper middle income,101
1976,Late-demographic dividend,102
1976,Small states,104
1976,Libya,105
1976,Colombia,107
1976,Ecuador,108
1976,Botswana,108
1976,Latin America & Caribbean,109
1976,Thailand,110
1976,Dominican Republic,111
1976,Turkmenistan,111
1976,Kyrgyz Republic,112
1976,Philippines,113
1976,Sudan,114
1976,Iraq,115
1976,Latin America & the Caribbean (IDA & IBRD countries),116
1976,Mexico,117
1976,Latin America & Caribbean (excluding high income),118
1976,Jordan,119
1976,Fiji,120
1976,Solomon Islands,121
1976,Tuvalu,123
1976,China,124
1976,Tunisia,125
1976,Indonesia,126
1976,Brazil,127
1976,East Asia & Pacific,128
1976,South Africa,129
1976,Guyana,130
1976,Uzbekistan,130
1976,World,131
1976,"Micronesia, Fed. Sts.",132
1976,Lesotho,133
1976,Eswatini,133
1976,Zimbabwe,134
1976,Sub-Saharan Africa,135
1976,Low & middle income,136
1976,Sub-Saharan Africa (IDA & IBRD countries),137
1976,Kazakhstan,138
1976,Sub-Saharan Africa (excluding high income),138
1976,Lower middle income,139
1976,East Asia & Pacific (IDA & IBRD countries),139
1976,Mauritius,140
1976,Honduras,141
1976,Arab World,142
1976,East Asia & Pacific (excluding high income),143
1976,Nauru,144
1976,Lao PDR,145
1976,Maldives,146
1976,IBRD only,147
1976,Sao Tome and Principe,147
1976,"Yemen, Rep.",147
1976,Marshall Islands,148
1976,Ghana,149
1976,Djibouti,150
1976,Cabo Verde,151
1976,IDA only,152
1976,Zambia,153
1976,Pakistan,154
1976,IDA & IBRD total,154
1976,Pacific island small states,154
1976,IDA total,155
1976,Early-demographic dividend,156
1976,IDA blend,157
1976,Cameroon,158
1976,Bhutan,159
1976,Oman,160
1976,Bolivia,161
1976,Haiti,161
1976,Saudi Arabia,162
1976,Least developed countries: UN classification,163
1976,Kiribati,164
1976,Cambodia,165
1976,Low income,165
1976,Kenya,166
1976,Ethiopia,167
1976,Liberia,168
1976,Peru,168
1976,Azerbaijan,169
1976,Eritrea,170
1976,Bangladesh,171
1976,Heavily indebted poor countries (HIPC),172
1976,El Salvador,174
1976,Fragile and conflict affected situations,175
1976,India,176
1976,Guinea,178
1976,Guatemala,178
1976,Guinea-Bissau,179
1976,Morocco,180
1976,Central African Republic,181
1976,Senegal,182
1976,Nicaragua,182
1976,Gabon,183
1976,"Congo, Rep.",184
1976,Other small states,185
1976,"Gambia, The",186
1976,Mauritania,187
1976,Namibia,187
1976,Middle East & North Africa (excluding high income),188
1976,Middle income,189
1976,Sierra Leone,190
1976,Middle East & North Africa (IDA & IBRD countries),191
1976,Middle East & North Africa,192
1976,Comoros,193
1976,Rwanda,194
1976,Vanuatu,195
1976,Papua New Guinea,196
1976,Mongolia,196
1976,Myanmar,197
1976,Burundi,198
1976,South Asia,198
1976,Burkina Faso,199
1976,Togo,200
1976,Benin,201
1976,Lebanon,202
1976,Uganda,203
1976,Madagascar,204
1976,South Asia (IDA & IBRD),205
1976,Malawi,206
1976,Chad,207
1976,Mali,208
1976,Nigeria,209
1976,Timor-Leste,210
1976,Tanzania,211
1976,Niger,212
1976,Pre-demographic dividend,213
1976,Nepal,214
1976,South Sudan,215
1976,Equatorial Guinea,216
1976,Algeria,217
1976,Somalia,218
1976,Mozambique,219
1976,"Congo, Dem. Rep.",220
1976,Angola,221
1976,Africa Eastern and Southern,222
1976,Afghanistan,223
1976,Africa Western and Central,224
