Year,Country,Ease_of_Living_Rank
2020,Switzerland,1
2020,Norway,2
2020,Singapore,3
2020,Australia,4
2020,Iceland,6
2020,Japan,7
2020,Denmark,8
2020,Netherlands,9
2020,Ireland,11
2020,Canada,12
2020,New Zealand,13
2020,United States,14
2020,Finland,15
2020,Qatar,16
2020,Sweden,17
2020,Germany,17
2020,Belgium,18
2020,United Arab Emirates,19
2020,Austria,20
2020,Israel,21
2020,United Kingdom,22
2020,France,23
2020,Malta,25
2020,Bahrain,26
2020,Slovenia,27
2020,Estonia,28
2020,Italy,29
2020,Cyprus,30
2020,Spain,31
2020,Kuwait,33
2020,Portugal,34
2020,Saudi Arabia,35
2020,Lithuania,36
2020,Greece,37
2020,China,38
2020,Latvia,39
2020,Chile,40
2020,Poland,42
2020,Croatia,43
2020,Malaysia,44
2020,Costa Rica,45
2020,Uruguay,46
2020,Hungary,47
2020,Panama,48
2020,Thailand,49
2020,Romania,51
2020,Kazakhstan,52
2020,Jordan,53
2020,Montenegro,54
2020,Georgia,55
2020,Bulgaria,56
2020,India,57
2020,Argentina,59
2020,South Africa,60
2020,Serbia,61
2020,Mongolia,62
2020,North Macedonia,63
2020,Lebanon,64
2020,Armenia,65
2020,Belarus,66
2020,Peru,67
2020,Mexico,69
2020,Indonesia,72
2020,Ukraine,73
2020,Moldova,74
2020,Brazil,75
2020,Ecuador,76
2020,Tunisia,77
2020,Colombia,78
2020,Philippines,79
2020,Morocco,80
2020,Azerbaijan,81
2020,Algeria,82
2020,Nicaragua,84
2020,Nepal,85
2020,Pakistan,86
