Year,Country,Economic_Rank
2020,Switzerland,1
2020,Norway,2
2020,Iceland,3
2020,Japan,4
2020,Singapore,6
2020,Denmark,8
2020,Israel,9
2020,Ireland,10
2020,United States,11
2020,Australia,12
2020,France,13
2020,New Zealand,14
2020,Netherlands,15
2020,China,16
2020,Sweden,17
2020,Austria,18
2020,Belgium,19
2020,Canada,20
2020,Finland,21
2020,Qatar,22
2020,United Kingdom,24
2020,Malta,25
2020,Italy,26
2020,Germany,27
2020,United Arab Emirates,28
2020,Bahrain,29
2020,Cyprus,30
2020,Lebanon,31
2020,Panama,32
2020,India,33
2020,Spain,34
2020,Slovenia,35
2020,Costa Rica,36
2020,Greece,37
2020,Kuwait,38
2020,Thailand,39
2020,Jordan,40
2020,Estonia,41
2020,Portugal,42
2020,Uruguay,43
2020,Saudi Arabia,44
2020,Croatia,45
2020,Latvia,47
2020,Lithuania,49
2020,Nicaragua,50
2020,Chile,51
2020,South Africa,52
2020,Malaysia,53
2020,Ecuador,54
2020,Hungary,55
2020,Poland,56
2020,Peru,59
2020,Mongolia,60
2020,Indonesia,62
2020,Brazil,63
2020,Philippines,64
2020,Mexico,65
2020,Bulgaria,66
2020,Montenegro,67
2020,Romania,68
2020,Belarus,71
2020,Morocco,72
2020,Serbia,73
2020,Argentina,74
2020,Moldova,75
2020,Ukraine,76
2020,Armenia,77
2020,Algeria,78
2020,North Macedonia,79
2020,Kazakhstan,80
2020,Colombia,81
2020,Azerbaijan,82
2020,Georgia,84
2020,Nepal,85
2020,Tunisia,86
2020,Pakistan,88
