Year,Country,Institutional_Rank
1996,Norway,1
1996,New Zealand,2
1996,Denmark,3
1996,Netherlands,4
1996,Finland,5
1996,Sweden,6
1996,Switzerland,7
1996,United Kingdom,8
1996,Austria,9
1996,Canada,10
1996,Australia,11
1996,Singapore,12
1996,Germany,13
1996,Iceland,14
1996,Ireland,15
1996,United States,16
1996,Belgium,17
1996,Spain,18
1996,Portugal,19
1996,France,20
1996,Chile,21
1996,Japan,22
1996,Cyprus,23
1996,Slovenia,25
1996,Israel,26
1996,Malta,27
1996,Hungary,28
1996,Italy,28
1996,Greece,30
1996,Poland,31
1996,Uruguay,32
1996,Estonia,33
1996,Costa Rica,34
1996,Lithuania,35
1996,United Arab Emirates,37
1996,South Africa,38
1996,Malaysia,39
1996,Kuwait,41
1996,Bahrain,43
1996,Latvia,44
1996,Thailand,45
1996,Argentina,46
1996,Qatar,47
1996,Jordan,48
1996,Panama,49
1996,Mongolia,50
1996,Morocco,51
1996,Brazil,52
1996,India,53
1996,Tunisia,54
1996,Romania,55
1996,Philippines,56
1996,Saudi Arabia,58
1996,Moldova,59
1996,Bulgaria,60
1996,Montenegro,61
1996,Nepal,63
1996,Peru,64
1996,Mexico,65
1996,Croatia,66
1996,Lebanon,67
1996,Armenia,68
1996,China,69
1996,North Macedonia,70
1996,Ecuador,71
1996,Nicaragua,72
1996,Colombia,74
1996,Indonesia,76
1996,Belarus,77
1996,Ukraine,79
1996,Pakistan,80
1996,Kazakhstan,83
1996,Algeria,84
1996,Georgia,85
1996,Serbia,86
1996,Azerbaijan,87
