Year,Country,Ease_of_Living_Rank
2019,Switzerland,1
2019,Norway,2
2019,Iceland,4
2019,Australia,5
2019,Singapore,6
2019,Japan,7
2019,Netherlands,8
2019,Denmark,9
2019,United States,10
2019,Canada,11
2019,New Zealand,13
2019,Finland,14
2019,Ireland,15
2019,Germany,16
2019,Sweden,17
2019,Austria,18
2019,Belgium,19
2019,Qatar,20
2019,United Kingdom,21
2019,France,22
2019,Israel,23
2019,United Arab Emirates,24
2019,Bahrain,26
2019,Malta,27
2019,Slovenia,28
2019,Italy,29
2019,Estonia,30
2019,Spain,31
2019,Cyprus,32
2019,Kuwait,34
2019,Portugal,35
2019,Saudi Arabia,36
2019,Chile,37
2019,Lithuania,38
2019,Greece,39
2019,Latvia,40
2019,Poland,41
2019,Uruguay,43
2019,Croatia,44
2019,Malaysia,45
2019,Hungary,46
2019,Costa Rica,47
2019,China,48
2019,Panama,49
2019,Thailand,50
2019,Romania,51
2019,Bulgaria,53
2019,Montenegro,54
2019,Jordan,55
2019,Georgia,55
2019,Kazakhstan,56
2019,India,57
2019,Argentina,58
2019,South Africa,60
2019,Serbia,61
2019,Mongolia,62
2019,Belarus,63
2019,Lebanon,64
2019,North Macedonia,65
2019,Peru,66
2019,Armenia,67
2019,Ecuador,68
2019,Brazil,70
2019,Mexico,71
2019,Indonesia,73
2019,Moldova,74
2019,Colombia,75
2019,Ukraine,76
2019,Azerbaijan,77
2019,Tunisia,78
2019,Philippines,79
2019,Algeria,80
2019,Morocco,81
2019,Nicaragua,83
2019,Nepal,85
2019,Pakistan,86
