Year,Country,Institutional_Rank
2011,Denmark,1
2011,Finland,2
2011,New Zealand,3
2011,Sweden,4
2011,Norway,5
2011,Netherlands,6
2011,Singapore,7
2011,Switzerland,8
2011,Australia,9
2011,Canada,10
2011,Iceland,11
2011,Austria,12
2011,United Kingdom,13
2011,Ireland,14
2011,Germany,15
2011,Belgium,16
2011,United States,17
2011,France,18
2011,Japan,19
2011,Chile,20
2011,Cyprus,21
2011,Malta,22
2011,Estonia,23
2011,Spain,24
2011,Israel,25
2011,Slovenia,26
2011,Portugal,27
2011,Uruguay,31
2011,Poland,32
2011,Qatar,33
2011,United Arab Emirates,34
2011,Hungary,35
2011,Lithuania,36
2011,Latvia,38
2011,Costa Rica,39
2011,Italy,40
2011,Malaysia,41
2011,Greece,42
2011,Bahrain,43
2011,Croatia,44
2011,Kuwait,45
2011,South Africa,46
2011,Georgia,47
2011,Jordan,49
2011,Panama,50
2011,Brazil,51
2011,Romania,52
2011,Bulgaria,53
2011,Montenegro,54
2011,Tunisia,55
2011,North Macedonia,56
2011,Colombia,57
2011,Thailand,58
2011,Serbia,59
2011,Mexico,60
2011,India,61
2011,Saudi Arabia,62
2011,Peru,63
2011,Armenia,64
2011,Morocco,65
2011,Philippines,66
2011,Argentina,67
2011,Mongolia,68
2011,China,69
2011,Moldova,70
2011,Indonesia,72
2011,Lebanon,74
2011,Kazakhstan,76
2011,Nicaragua,77
2011,Algeria,79
2011,Ukraine,80
2011,Ecuador,81
2011,Nepal,82
2011,Azerbaijan,83
2011,Pakistan,86
2011,Belarus,87
