Year,Country,Quality_of_Life_Rank
2007,Norway,1
2007,Germany,3
2007,Switzerland,4
2007,New Zealand,5
2007,Australia,6
2007,Netherlands,7
2007,Finland,8
2007,Denmark,9
2007,Iceland,10
2007,Sweden,11
2007,Belgium,12
2007,Canada,12
2007,United States,13
2007,United Kingdom,14
2007,Austria,15
2007,Ireland,16
2007,Japan,17
2007,Singapore,19
2007,Israel,20
2007,Slovenia,21
2007,Italy,22
2007,France,23
2007,Spain,26
2007,Greece,26
2007,Estonia,27
2007,Cyprus,28
2007,Malta,29
2007,Qatar,30
2007,United Arab Emirates,31
2007,Lithuania,32
2007,Poland,33
2007,Latvia,35
2007,Portugal,36
2007,Hungary,37
2007,Argentina,38
2007,Croatia,39
2007,Bahrain,40
2007,Kuwait,41
2007,Chile,42
2007,Saudi Arabia,43
2007,Montenegro,44
2007,Romania,46
2007,Bulgaria,47
2007,Belarus,48
2007,Uruguay,49
2007,Panama,50
2007,Kazakhstan,51
2007,Ukraine,52
2007,Costa Rica,53
2007,Serbia,54
2007,Georgia,55
2007,Lebanon,56
2007,Malaysia,57
2007,Mexico,58
2007,Armenia,59
2007,Jordan,61
2007,Thailand,62
2007,Ecuador,63
2007,Moldova,65
2007,North Macedonia,66
2007,Colombia,67
2007,Tunisia,69
2007,Azerbaijan,70
2007,Brazil,71
2007,Peru,72
2007,Algeria,73
2007,Mongolia,74
2007,China,75
2007,Philippines,75
2007,South Africa,79
2007,Indonesia,80
2007,Nicaragua,81
2007,Morocco,82
2007,India,83
2007,Nepal,84
2007,Pakistan,85
