Year,Country,Economic_Rank
2007,Norway,1
2007,Switzerland,2
2007,Denmark,3
2007,Japan,4
2007,United Kingdom,5
2007,Netherlands,6
2007,Austria,7
2007,Belgium,8
2007,Sweden,9
2007,Finland,10
2007,France,11
2007,Singapore,12
2007,Germany,13
2007,Australia,14
2007,United States,15
2007,Ireland,16
2007,United Arab Emirates,17
2007,Italy,18
2007,Canada,19
2007,New Zealand,20
2007,Iceland,21
2007,Qatar,23
2007,Spain,24
2007,Cyprus,25
2007,Kuwait,26
2007,Greece,27
2007,Israel,30
2007,Hungary,31
2007,Portugal,32
2007,Chile,33
2007,Slovenia,34
2007,Bahrain,36
2007,Saudi Arabia,37
2007,Croatia,38
2007,Malta,40
2007,Latvia,41
2007,Romania,42
2007,Poland,43
2007,Malaysia,44
2007,China,45
2007,Brazil,46
2007,Montenegro,47
2007,North Macedonia,48
2007,Lithuania,50
2007,Estonia,51
2007,Panama,52
2007,Morocco,53
2007,Armenia,54
2007,Mexico,55
2007,Tunisia,56
2007,South Africa,57
2007,Peru,58
2007,Azerbaijan,59
2007,Jordan,60
2007,Serbia,61
2007,Thailand,62
2007,Lebanon,62
2007,Ecuador,63
2007,Algeria,65
2007,Costa Rica,68
2007,Georgia,69
2007,Argentina,70
2007,Philippines,71
2007,Indonesia,72
2007,Uruguay,73
2007,Bulgaria,74
2007,Belarus,75
2007,Pakistan,76
2007,Kazakhstan,77
2007,Nepal,78
2007,Ukraine,80
2007,Colombia,81
2007,India,83
2007,Moldova,84
2007,Mongolia,85
2007,Nicaragua,87
