Year,Country,Sustainability_Rank
2007,Qatar,1
2007,Kuwait,2
2007,United Arab Emirates,3
2007,Bahrain,4
2007,United States,5
2007,Australia,6
2007,Canada,7
2007,Saudi Arabia,8
2007,Kazakhstan,9
2007,Estonia,10
2007,Ireland,14
2007,Netherlands,15
2007,Belgium,16
2007,Japan,17
2007,Singapore,18
2007,United Kingdom,19
2007,Israel,20
2007,Greece,21
2007,Germany,23
2007,Cyprus,24
2007,Poland,26
2007,Malta,28
2007,Malaysia,29
2007,South Africa,30
2007,Ukraine,31
2007,Finland,32
2007,Italy,33
2007,Spain,34
2007,Denmark,35
2007,Bulgaria,36
2007,Slovenia,38
2007,Belarus,39
2007,Serbia,40
2007,Mongolia,41
2007,France,42
2007,Hungary,43
2007,Austria,44
2007,Algeria,45
2007,Jordan,46
2007,China,48
2007,Argentina,49
2007,New Zealand,50
2007,Azerbaijan,51
2007,Mexico,52
2007,Switzerland,53
2007,Moldova,55
2007,North Macedonia,56
2007,Lebanon,58
2007,Romania,59
2007,Croatia,60
2007,Lithuania,62
2007,Portugal,63
2007,Armenia,64
2007,Tunisia,65
2007,Thailand,66
2007,Ecuador,67
2007,Morocco,68
2007,Chile,69
2007,Panama,70
2007,Latvia,71
2007,Norway,72
2007,Sweden,73
2007,Montenegro,74
2007,Colombia,75
2007,Georgia,76
2007,Peru,77
2007,Iceland,78
2007,Indonesia,79
2007,Philippines,80
2007,Uruguay,81
2007,India,83
2007,Costa Rica,84
2007,Brazil,85
2007,Pakistan,86
2007,Nicaragua,87
2007,Nepal,88
