Year,Country,Quality_of_Life_Rank
2003,Norway,1
2003,Sweden,2
2003,Finland,3
2003,Australia,4
2003,Germany,5
2003,New Zealand,7
2003,Denmark,8
2003,Canada,9
2003,Switzerland,10
2003,Belgium,11
2003,United States,12
2003,Netherlands,13
2003,Iceland,14
2003,Japan,15
2003,Austria,16
2003,United Kingdom,17
2003,Ireland,18
2003,Italy,20
2003,Slovenia,21
2003,Israel,22
2003,France,23
2003,Singapore,24
2003,Spain,26
2003,Greece,27
2003,Cyprus,29
2003,Qatar,30
2003,Estonia,31
2003,United Arab Emirates,32
2003,Malta,33
2003,Poland,34
2003,Bahrain,35
2003,Portugal,36
2003,Lithuania,37
2003,Hungary,38
2003,Kuwait,39
2003,Argentina,40
2003,Latvia,41
2003,Croatia,43
2003,Chile,44
2003,Uruguay,45
2003,Saudi Arabia,46
2003,Montenegro,47
2003,Lebanon,49
2003,Bulgaria,50
2003,Panama,51
2003,Malaysia,52
2003,Romania,53
2003,Ukraine,53
2003,Belarus,54
2003,Costa Rica,55
2003,Mexico,56
2003,Georgia,57
2003,Kazakhstan,58
2003,Serbia,59
2003,Ecuador,60
2003,Jordan,61
2003,North Macedonia,63
2003,Brazil,64
2003,Thailand,65
2003,Armenia,66
2003,Peru,67
2003,Tunisia,68
2003,Colombia,69
2003,Moldova,70
2003,Algeria,71
2003,Azerbaijan,72
2003,Philippines,73
2003,Mongolia,75
2003,South Africa,76
2003,Indonesia,77
2003,China,79
2003,Nicaragua,81
2003,Morocco,82
2003,India,83
2003,Nepal,84
2003,Pakistan,85
