Year,Country,Sustainability_Rank
2003,Qatar,1
2003,Kuwait,2
2003,United Arab Emirates,3
2003,Bahrain,4
2003,United States,5
2003,Australia,6
2003,Canada,7
2003,Saudi Arabia,8
2003,Belgium,10
2003,Ireland,11
2003,Netherlands,13
2003,Kazakhstan,15
2003,Singapore,16
2003,Germany,17
2003,United Kingdom,18
2003,Japan,19
2003,Estonia,20
2003,Finland,21
2003,Israel,22
2003,Denmark,23
2003,Greece,24
2003,Cyprus,26
2003,Italy,28
2003,Ukraine,29
2003,Malta,30
2003,Poland,31
2003,Spain,33
2003,South Africa,35
2003,Malaysia,36
2003,Austria,37
2003,Hungary,38
2003,Slovenia,39
2003,Bulgaria,40
2003,France,41
2003,Serbia,42
2003,Belarus,43
2003,New Zealand,44
2003,Azerbaijan,45
2003,Switzerland,46
2003,Jordan,47
2003,Algeria,48
2003,Lebanon,49
2003,Mongolia,50
2003,Mexico,52
2003,Romania,53
2003,Portugal,54
2003,Moldova,55
2003,Argentina,56
2003,North Macedonia,57
2003,Croatia,58
2003,Lithuania,61
2003,Sweden,63
2003,Tunisia,64
2003,Thailand,65
2003,Armenia,66
2003,China,67
2003,Ecuador,68
2003,Morocco,69
2003,Norway,70
2003,Chile,71
2003,Latvia,72
2003,Panama,73
2003,Montenegro,74
2003,Iceland,75
2003,Colombia,76
2003,Costa Rica,77
2003,Philippines,78
2003,Peru,79
2003,Indonesia,80
2003,Uruguay,81
2003,Brazil,82
2003,India,83
2003,Pakistan,85
2003,Georgia,86
2003,Nicaragua,87
2003,Nepal,88
