Year,Country,Institutional_Rank
2003,Finland,1
2003,Denmark,2
2003,Iceland,3
2003,Sweden,4
2003,New Zealand,5
2003,Switzerland,6
2003,Netherlands,7
2003,Austria,8
2003,Norway,9
2003,Canada,10
2003,Australia,11
2003,Singapore,12
2003,United Kingdom,13
2003,Germany,15
2003,United States,16
2003,Ireland,17
2003,Belgium,18
2003,Spain,19
2003,France,20
2003,Portugal,21
2003,Malta,22
2003,Chile,23
2003,Japan,25
2003,Cyprus,26
2003,Estonia,27
2003,Slovenia,28
2003,Israel,29
2003,Hungary,30
2003,Greece,32
2003,Italy,33
2003,Uruguay,35
2003,Lithuania,36
2003,Latvia,37
2003,United Arab Emirates,38
2003,Malaysia,39
2003,Poland,40
2003,Costa Rica,42
2003,Bahrain,43
2003,Kuwait,44
2003,Qatar,45
2003,South Africa,46
2003,Croatia,47
2003,Jordan,48
2003,Thailand,49
2003,Bulgaria,50
2003,Tunisia,51
2003,Mongolia,52
2003,Brazil,54
2003,Panama,55
2003,Mexico,56
2003,Montenegro,57
2003,Saudi Arabia,58
2003,India,59
2003,Romania,60
2003,Morocco,61
2003,Armenia,62
2003,Lebanon,63
2003,Peru,65
2003,Philippines,66
2003,China,67
2003,Argentina,68
2003,North Macedonia,69
2003,Colombia,70
2003,Nicaragua,72
2003,Moldova,74
2003,Georgia,75
2003,Serbia,76
2003,Nepal,79
2003,Algeria,80
2003,Ukraine,81
2003,Ecuador,82
2003,Indonesia,84
2003,Pakistan,84
2003,Kazakhstan,85
2003,Azerbaijan,86
2003,Belarus,87
