Year,Country,Economic_Rank
2003,Switzerland,1
2003,Norway,2
2003,United States,3
2003,Iceland,4
2003,Denmark,5
2003,Netherlands,6
2003,Japan,7
2003,United Kingdom,8
2003,Sweden,9
2003,Ireland,10
2003,Finland,11
2003,Austria,12
2003,Qatar,13
2003,Germany,15
2003,United Arab Emirates,16
2003,Belgium,17
2003,Canada,18
2003,France,19
2003,Italy,20
2003,Slovenia,21
2003,Singapore,22
2003,Israel,23
2003,Australia,24
2003,Kuwait,25
2003,Bahrain,26
2003,Spain,27
2003,Greece,28
2003,Portugal,29
2003,New Zealand,31
2003,Malta,32
2003,Hungary,33
2003,Cyprus,35
2003,Mexico,36
2003,Panama,37
2003,Montenegro,38
2003,Croatia,39
2003,Saudi Arabia,40
2003,North Macedonia,42
2003,Lithuania,43
2003,Thailand,44
2003,Poland,45
2003,Chile,46
2003,Malaysia,47
2003,Estonia,48
2003,South Africa,49
2003,Algeria,50
2003,Peru,52
2003,Latvia,53
2003,Tunisia,53
2003,Bulgaria,54
2003,Lebanon,56
2003,Pakistan,57
2003,Brazil,58
2003,Serbia,59
2003,Argentina,61
2003,Colombia,62
2003,China,63
2003,Morocco,64
2003,Ecuador,65
2003,Uruguay,66
2003,Azerbaijan,67
2003,Jordan,68
2003,Belarus,69
2003,Armenia,70
2003,Philippines,71
2003,Georgia,72
2003,Costa Rica,74
2003,India,75
2003,Kazakhstan,76
2003,Ukraine,77
2003,Nicaragua,78
2003,Romania,80
2003,Indonesia,83
2003,Nepal,84
2003,Mongolia,85
2003,Moldova,86
