Year,Country,Sustainability_Rank
2004,Qatar,1
2004,Kuwait,2
2004,United Arab Emirates,3
2004,Bahrain,4
2004,United States,5
2004,Australia,6
2004,Canada,7
2004,Saudi Arabia,8
2004,Belgium,11
2004,Ireland,12
2004,Kazakhstan,13
2004,Netherlands,15
2004,Singapore,16
2004,Estonia,17
2004,United Kingdom,18
2004,Japan,19
2004,Germany,20
2004,Israel,21
2004,Greece,22
2004,Cyprus,25
2004,Italy,26
2004,Finland,27
2004,Poland,28
2004,Malta,29
2004,Denmark,30
2004,Ukraine,31
2004,Spain,32
2004,South Africa,34
2004,Malaysia,36
2004,Serbia,37
2004,Austria,38
2004,Slovenia,39
2004,Hungary,40
2004,Belarus,41
2004,Bulgaria,42
2004,France,43
2004,Jordan,44
2004,Switzerland,45
2004,Azerbaijan,46
2004,Lebanon,47
2004,Mongolia,48
2004,New Zealand,49
2004,Algeria,50
2004,Portugal,51
2004,Mexico,53
2004,Argentina,54
2004,Moldova,55
2004,Romania,56
2004,North Macedonia,57
2004,China,59
2004,Lithuania,60
2004,Croatia,61
2004,Tunisia,62
2004,Thailand,63
2004,Armenia,64
2004,Sweden,65
2004,Ecuador,66
2004,Norway,67
2004,Chile,68
2004,Morocco,69
2004,Montenegro,70
2004,Latvia,71
2004,Panama,72
2004,Iceland,73
2004,Colombia,74
2004,Uruguay,75
2004,Philippines,75
2004,Peru,76
2004,Indonesia,77
2004,Brazil,78
2004,Costa Rica,79
2004,India,80
2004,Pakistan,82
2004,Georgia,83
2004,Nicaragua,84
2004,Nepal,85
