Year,Country,Sustainability_Rank
2012,Qatar,1
2012,Kuwait,2
2012,Bahrain,3
2012,United Arab Emirates,4
2012,Saudi Arabia,5
2012,Australia,6
2012,Kazakhstan,7
2012,United States,8
2012,Canada,9
2012,Israel,12
2012,Japan,13
2012,Singapore,14
2012,Netherlands,15
2012,Estonia,16
2012,Belgium,20
2012,South Africa,21
2012,Malaysia,22
2012,Germany,23
2012,United Kingdom,24
2012,Ireland,25
2012,Malta,26
2012,Poland,27
2012,Mongolia,28
2012,Ukraine,29
2012,Belarus,30
2012,China,31
2012,Cyprus,33
2012,Greece,34
2012,Slovenia,36
2012,Algeria,37
2012,Lebanon,38
2012,Bulgaria,40
2012,Italy,41
2012,Serbia,42
2012,Jordan,43
2012,France,44
2012,Azerbaijan,45
2012,Argentina,46
2012,Mexico,47
2012,Spain,48
2012,Finland,50
2012,Switzerland,52
2012,North Macedonia,53
2012,New Zealand,54
2012,Austria,55
2012,Hungary,56
2012,Armenia,57
2012,Tunisia,58
2012,Romania,59
2012,Ecuador,60
2012,Denmark,61
2012,Morocco,62
2012,Thailand,63
2012,Panama,64
2012,Lithuania,65
2012,Moldova,66
2012,Chile,67
2012,Croatia,68
2012,Portugal,69
2012,Norway,70
2012,Georgia,71
2012,Indonesia,72
2012,Latvia,73
2012,Colombia,74
2012,Peru,75
2012,Montenegro,76
2012,Sweden,77
2012,India,78
2012,Brazil,80
2012,Philippines,81
2012,Costa Rica,82
2012,Uruguay,83
2012,Pakistan,84
2012,Iceland,85
2012,Nicaragua,86
2012,Nepal,87
