Year,Country,Ease_of_Living_Rank
1994,United States,1
1994,Switzerland,2
1994,Japan,3
1994,Austria,4
1994,Denmark,5
1994,Australia,6
1994,Germany,7
1994,Netherlands,8
1994,France,9
1994,Iceland,10
1994,United Kingdom,11
1994,Finland,12
1994,Norway,13
1994,Belgium,14
1994,United Arab Emirates,15
1994,New Zealand,16
1994,Canada,17
1994,Sweden,18
1994,Qatar,19
1994,Israel,20
1994,Italy,21
1994,Ireland,22
1994,Bahrain,23
1994,Spain,24
1994,Singapore,25
1994,Kuwait,26
1994,Cyprus,28
1994,Portugal,29
1994,Malta,30
1994,Greece,31
1994,Slovenia,32
1994,Hungary,34
1994,Lithuania,35
1994,Poland,38
1994,Saudi Arabia,39
1994,Uruguay,40
1994,Argentina,41
1994,Estonia,42
1994,Belarus,43
1994,Latvia,44
1994,Malaysia,45
1994,Chile,46
1994,Panama,47
1994,Bulgaria,48
1994,Costa Rica,49
1994,Jordan,50
1994,Mexico,51
1994,Romania,52
1994,Ukraine,53
1994,Croatia,54
1994,Kazakhstan,55
1994,Moldova,56
1994,North Macedonia,56
1994,Lebanon,57
1994,Montenegro,58
1994,South Africa,59
1994,Azerbaijan,60
1994,Thailand,61
1994,Brazil,61
1994,Ecuador,62
1994,Mongolia,63
1994,Tunisia,64
1994,Peru,65
1994,Serbia,66
1994,Georgia,67
1994,Colombia,71
1994,Armenia,73
1994,Philippines,74
1994,Algeria,75
1994,China,76
1994,Morocco,77
1994,Nicaragua,78
1994,Indonesia,79
1994,India,80
1994,Nepal,82
1994,Pakistan,83
