Year,Country,Sustainability_Rank
1994,Qatar,1
1994,United Arab Emirates,2
1994,Bahrain,3
1994,Kuwait,4
1994,United States,5
1994,Australia,6
1994,Kazakhstan,7
1994,Saudi Arabia,8
1994,Belgium,9
1994,Canada,10
1994,Singapore,12
1994,Estonia,13
1994,Denmark,15
1994,Germany,16
1994,Netherlands,17
1994,United Kingdom,18
1994,Ireland,19
1994,Japan,20
1994,Ukraine,22
1994,Poland,24
1994,Israel,26
1994,Finland,28
1994,Cyprus,28
1994,Malta,29
1994,Greece,30
1994,Bulgaria,31
1994,Italy,32
1994,Belarus,32
1994,Slovenia,33
1994,Hungary,33
1994,Moldova,34
1994,Spain,36
1994,Azerbaijan,36
1994,Mongolia,37
1994,France,38
1994,Romania,39
1994,Malaysia,40
1994,Switzerland,41
1994,Austria,42
1994,Jordan,43
1994,South Africa,44
1994,Algeria,45
1994,Lithuania,46
1994,Lebanon,47
1994,Argentina,48
1994,Serbia,49
1994,New Zealand,50
1994,Mexico,51
1994,North Macedonia,52
1994,Sweden,53
1994,Portugal,54
1994,Tunisia,56
1994,Latvia,57
1994,Georgia,59
1994,Thailand,59
1994,Iceland,60
1994,Ecuador,61
1994,Croatia,62
1994,Morocco,63
1994,Armenia,64
1994,Norway,65
1994,China,66
1994,Chile,67
1994,Colombia,68
1994,Panama,70
1994,Montenegro,71
1994,Costa Rica,72
1994,Peru,73
1994,Uruguay,74
1994,Brazil,75
1994,Philippines,76
1994,India,77
1994,Indonesia,78
1994,Pakistan,79
1994,Nicaragua,81
1994,Nepal,82
