Year,Country,Institutional_Rank
2000,Finland,1
2000,Netherlands,2
2000,Switzerland,3
2000,Denmark,4
2000,Iceland,5
2000,Sweden,6
2000,New Zealand,7
2000,Norway,8
2000,United Kingdom,9
2000,Canada,10
2000,Australia,11
2000,Singapore,12
2000,Austria,13
2000,Germany,14
2000,United States,15
2000,Ireland,16
2000,Belgium,17
2000,Spain,18
2000,France,19
2000,Chile,20
2000,Malta,21
2000,Japan,22
2000,Portugal,23
2000,Cyprus,24
2000,Israel,25
2000,Hungary,26
2000,Slovenia,27
2000,Estonia,28
2000,Italy,29
2000,Greece,30
2000,Uruguay,31
2000,Poland,32
2000,Costa Rica,34
2000,United Arab Emirates,36
2000,South Africa,38
2000,Malaysia,39
2000,Qatar,41
2000,Bahrain,42
2000,Lithuania,43
2000,Thailand,44
2000,Kuwait,45
2000,Latvia,46
2000,Jordan,47
2000,Croatia,48
2000,Panama,49
2000,Montenegro,50
2000,Bulgaria,51
2000,Brazil,52
2000,Morocco,53
2000,Mexico,54
2000,India,55
2000,Argentina,56
2000,Tunisia,57
2000,Mongolia,59
2000,Romania,60
2000,Saudi Arabia,61
2000,Lebanon,62
2000,Philippines,64
2000,Peru,65
2000,China,66
2000,Nepal,67
2000,Moldova,68
2000,Armenia,70
2000,Colombia,71
2000,North Macedonia,72
2000,Indonesia,73
2000,Ecuador,74
2000,Nicaragua,76
2000,Georgia,78
2000,Pakistan,79
2000,Ukraine,80
2000,Belarus,83
2000,Kazakhstan,84
2000,Algeria,85
2000,Azerbaijan,86
2000,Serbia,87
