Year,Country,Institutional_Rank
2021,Finland,1
2021,Singapore,2
2021,Denmark,3
2021,Norway,4
2021,Switzerland,5
2021,Netherlands,6
2021,Sweden,7
2021,New Zealand,8
2021,Iceland,9
2021,Australia,10
2021,Canada,11
2021,Germany,12
2021,Ireland,13
2021,Austria,14
2021,Japan,15
2021,Estonia,16
2021,United Kingdom,18
2021,Belgium,19
2021,United States,20
2021,France,21
2021,Lithuania,23
2021,Uruguay,25
2021,Portugal,27
2021,Slovenia,28
2021,United Arab Emirates,29
2021,Israel,30
2021,Latvia,31
2021,Spain,32
2021,Chile,33
2021,Qatar,34
2021,Malta,35
2021,Cyprus,36
2021,Malaysia,38
2021,Poland,39
2021,Georgia,40
2021,Costa Rica,41
2021,Hungary,42
2021,Italy,43
2021,Bahrain,44
2021,Croatia,45
2021,Greece,46
2021,Saudi Arabia,47
2021,Romania,48
2021,Jordan,49
2021,China,50
2021,Kuwait,51
2021,Montenegro,52
2021,South Africa,53
2021,Bulgaria,54
2021,Thailand,55
2021,Indonesia,55
2021,North Macedonia,56
2021,India,57
2021,Armenia,58
2021,Panama,59
2021,Serbia,60
2021,Tunisia,61
2021,Colombia,63
2021,Kazakhstan,64
2021,Morocco,65
2021,Mongolia,66
2021,Moldova,67
2021,Brazil,68
2021,Philippines,69
2021,Peru,70
2021,Argentina,71
2021,Ecuador,72
2021,Azerbaijan,73
2021,Ukraine,76
2021,Nepal,77
2021,Mexico,78
2021,Pakistan,80
2021,Algeria,81
2021,Belarus,82
2021,Nicaragua,83
2021,Lebanon,85
