Year,Country,Sustainability_Rank
2021,Qatar,1
2021,Saudi Arabia,2
2021,Kuwait,3
2021,Bahrain,4
2021,United Arab Emirates,5
2021,Algeria,6
2021,Singapore,8
2021,Azerbaijan,10
2021,Kazakhstan,11
2021,Mongolia,12
2021,Israel,15
2021,Lebanon,17
2021,Malaysia,18
2021,Belarus,19
2021,Japan,20
2021,Ukraine,21
2021,South Africa,22
2021,Argentina,23
2021,Malta,24
2021,Armenia,25
2021,United States,26
2021,Morocco,27
2021,Tunisia,28
2021,Netherlands,29
2021,Jordan,30
2021,United Kingdom,31
2021,Australia,32
2021,Mexico,32
2021,Ireland,33
2021,Belgium,35
2021,Poland,36
2021,China,37
2021,Hungary,38
2021,France,39
2021,Cyprus,40
2021,Italy,43
2021,Germany,44
2021,Thailand,45
2021,Spain,46
2021,Ecuador,47
2021,North Macedonia,48
2021,Indonesia,49
2021,Moldova,50
2021,Bulgaria,51
2021,Greece,52
2021,Slovenia,53
2021,Romania,55
2021,Canada,56
2021,Chile,57
2021,Georgia,58
2021,Switzerland,59
2021,Serbia,60
2021,Philippines,61
2021,Panama,62
2021,New Zealand,63
2021,Colombia,64
2021,Peru,65
2021,Portugal,66
2021,Lithuania,67
2021,Croatia,68
2021,India,69
2021,Costa Rica,70
2021,Austria,72
2021,Estonia,73
2021,Montenegro,74
2021,Denmark,75
2021,Pakistan,76
2021,Latvia,77
2021,Brazil,78
2021,Finland,79
2021,Nicaragua,80
2021,Sweden,81
2021,Uruguay,82
2021,Norway,83
2021,Nepal,84
2021,Iceland,85
