Year,Country,Quality_of_Life_Rank
1992,United States,1
1992,Australia,2
1992,Canada,3
1992,Switzerland,4
1992,Netherlands,5
1992,Norway,6
1992,Japan,7
1992,Germany,8
1992,Denmark,9
1992,Belgium,10
1992,Austria,11
1992,Iceland,12
1992,Finland,13
1992,Sweden,14
1992,New Zealand,16
1992,United Kingdom,17
1992,France,18
1992,Israel,20
1992,Italy,21
1992,Spain,22
1992,Greece,23
1992,Qatar,24
1992,Ireland,26
1992,Singapore,27
1992,Bahrain,28
1992,Slovenia,29
1992,United Arab Emirates,31
1992,Malta,32
1992,Argentina,33
1992,Portugal,35
1992,Croatia,36
1992,Cyprus,37
1992,Chile,38
1992,Belarus,39
1992,Estonia,40
1992,Poland,41
1992,Ukraine,42
1992,Lithuania,43
1992,Hungary,44
1992,Uruguay,45
1992,Latvia,46
1992,Montenegro,47
1992,Georgia,49
1992,Saudi Arabia,50
1992,North Macedonia,51
1992,Bulgaria,52
1992,Romania,53
1992,Kuwait,54
1992,Panama,55
1992,Serbia,56
1992,Costa Rica,57
1992,Lebanon,58
1992,Kazakhstan,59
1992,Mexico,60
1992,Ecuador,61
1992,Malaysia,62
1992,Azerbaijan,63
1992,South Africa,64
1992,Jordan,66
1992,Moldova,67
1992,Colombia,68
1992,Peru,70
1992,Brazil,71
1992,Armenia,72
1992,Philippines,74
1992,Algeria,75
1992,Thailand,76
1992,Tunisia,77
1992,Mongolia,80
1992,Indonesia,81
1992,China,82
1992,Nicaragua,83
1992,Morocco,84
1992,India,85
1992,Nepal,86
1992,Pakistan,87
