Year,Country,Ease_of_Living_Rank
1992,United States,1
1992,Switzerland,2
1992,Australia,3
1992,Denmark,4
1992,France,5
1992,Austria,6
1992,Germany,7
1992,Netherlands,8
1992,Japan,9
1992,United Kingdom,10
1992,New Zealand,11
1992,Finland,12
1992,Sweden,13
1992,United Arab Emirates,14
1992,Norway,15
1992,Canada,16
1992,Qatar,17
1992,Italy,18
1992,Israel,19
1992,Iceland,20
1992,Bahrain,22
1992,Belgium,23
1992,Lithuania,24
1992,Slovenia,25
1992,Ireland,26
1992,Singapore,29
1992,Greece,29
1992,Hungary,31
1992,Kuwait,32
1992,Cyprus,33
1992,Spain,34
1992,Portugal,35
1992,Malta,36
1992,Saudi Arabia,37
1992,Poland,39
1992,Belarus,40
1992,Uruguay,41
1992,Bulgaria,42
1992,Argentina,43
1992,Azerbaijan,44
1992,Romania,45
1992,Croatia,46
1992,Estonia,47
1992,Jordan,48
1992,Panama,50
1992,Latvia,51
1992,Moldova,52
1992,Ukraine,53
1992,Mexico,54
1992,Malaysia,55
1992,Kazakhstan,56
1992,Mongolia,57
1992,Lebanon,58
1992,Chile,59
1992,North Macedonia,60
1992,Montenegro,61
1992,Costa Rica,62
1992,Serbia,64
1992,Georgia,65
1992,Brazil,66
1992,Armenia,68
1992,Tunisia,69
1992,Ecuador,71
1992,Thailand,72
1992,Algeria,73
1992,South Africa,74
1992,Colombia,75
1992,Philippines,77
1992,China,78
1992,Nicaragua,79
1992,Peru,80
1992,India,81
1992,Indonesia,82
1992,Morocco,83
1992,Pakistan,84
1992,Nepal,85
