Year,Country,Sustainability_Rank
1981,Australia,1
1981,Slovenia,2
1981,Norway,3
1981,Netherlands,4
1981,Iceland,5
1981,Canada,6
1981,Austria,7
1981,United States,8
1981,Switzerland,9
1981,United Kingdom,10
1981,Cyprus,11
1981,Germany,12
1981,Finland,13
1981,Belgium,14
1981,Portugal,15
1981,Channel Islands,16
1981,Spain,17
1981,Panama,18
1981,Euro area,20
1981,Sweden,21
1981,France,22
1981,Luxembourg,23
1981,Bulgaria,24
1981,Georgia,26
1981,Japan,27
1981,Puerto Rico,28
1981,Bermuda,29
1981,Barbados,30
1981,Malta,31
1981,Uruguay,32
1981,Latvia,33
1981,Cuba,34
1981,Belarus,35
1981,St. Martin (French part),36
1981,Europe & Central Asia (IDA & IBRD countries),38
1981,Europe & Central Asia,39
1981,Sint Maarten (Dutch part),40
1981,Ireland,41
1981,Greece,42
1981,Singapore,43
1981,Aruba,44
1981,Post-demographic dividend,45
1981,British Virgin Islands,46
1981,North America,47
1981,Romania,48
1981,Croatia,49
1981,Dominica,50
1981,Denmark,51
1981,New Zealand,52
1981,Serbia,53
1981,Poland,54
1981,Israel,55
1981,High income,56
1981,OECD members,57
1981,French Polynesia,58
1981,Hungary,59
1981,Costa Rica,60
1981,St. Kitts and Nevis,61
1981,Caribbean small states,61
1981,European Union,62
1981,Thailand,63
1981,North Macedonia,64
1981,Albania,65
1981,Italy,66
1981,Gibraltar,68
1981,Chile,69
1981,Armenia,70
1981,Saudi Arabia,71
1981,East Asia & Pacific,72
1981,Isle of Man,73
1981,Trinidad and Tobago,75
1981,Antigua and Barbuda,76
1981,Argentina,77
1981,Guam,78
1981,Central Europe and the Baltics,79
1981,Lithuania,81
1981,Seychelles,82
1981,Virgin Islands (U.S.),83
1981,Kuwait,84
1981,Estonia,85
1981,"Bahamas, The",86
1981,Europe & Central Asia (excluding high income),87
1981,Kosovo,88
1981,Libya,89
1981,Jordan,90
1981,Mexico,91
1981,Sri Lanka,92
1981,Ukraine,93
1981,Montenegro,94
1981,Grenada,95
1981,Moldova,96
1981,Curacao,97
1981,Malaysia,99
1981,Colombia,100
1981,Uzbekistan,101
1981,Cabo Verde,102
1981,Bahrain,104
1981,St. Vincent and the Grenadines,105
1981,United Arab Emirates,106
1981,Fiji,107
1981,Latin America & the Caribbean (IDA & IBRD countries),108
1981,China,109
1981,Kazakhstan,110
1981,Tonga,111
1981,Jamaica,112
1981,Brunei Darussalam,113
1981,"Micronesia, Fed. Sts.",114
1981,Kyrgyz Republic,115
1981,Mauritius,116
1981,New Caledonia,117
1981,Greenland,118
1981,Vanuatu,120
1981,Brazil,121
1981,East Asia & Pacific (excluding high income),122
1981,Samoa,124
1981,Paraguay,125
1981,Turks and Caicos Islands,126
1981,"Korea, Dem. People's Rep.",127
1981,Belize,128
1981,Ecuador,129
1981,Upper middle income,130
1981,East Asia & Pacific (IDA & IBRD countries),131
1981,Latin America & Caribbean,132
1981,St. Lucia,134
1981,Late-demographic dividend,136
1981,Tuvalu,137
1981,Qatar,138
1981,Tunisia,139
1981,Lebanon,140
1981,Latin America & Caribbean (excluding high income),141
1981,Marshall Islands,142
1981,Gabon,143
1981,Other small states,143
1981,Guyana,144
1981,Turkmenistan,145
1981,Tajikistan,146
1981,Zimbabwe,147
1981,World,148
1981,Botswana,149
1981,Oman,150
1981,Zambia,151
1981,Nauru,152
1981,Arab World,153
1981,Sao Tome and Principe,154
1981,Azerbaijan,155
1981,Dominican Republic,156
1981,Bhutan,157
1981,"Congo, Rep.",158
1981,India,159
1981,Solomon Islands,160
1981,Suriname,160
1981,Middle East & North Africa,161
1981,Kiribati,162
1981,IDA blend,162
1981,Sudan,163
1981,Honduras,164
1981,IBRD only,165
1981,"Yemen, Rep.",166
1981,South Africa,167
1981,Morocco,168
1981,Small states,169
1981,Pacific island small states,170
1981,Afghanistan,171
1981,Namibia,171
1981,Burkina Faso,171
1981,Burundi,171
1981,South Sudan,171
1981,Pre-demographic dividend,171
1981,Ethiopia,171
1981,Senegal,171
1981,Eritrea,171
1981,Timor-Leste,171
1981,South Asia (IDA & IBRD),171
1981,Uganda,171
1981,Mauritania,171
1981,Maldives,171
1981,Middle East & North Africa (excluding high income),171
1981,Guinea,171
1981,Guinea-Bissau,171
1981,Rwanda,171
1981,Africa Eastern and Southern,171
1981,Malawi,171
1981,Tanzania,171
1981,Papua New Guinea,171
1981,Comoros,171
1981,Togo,171
1981,Low income,171
1981,Benin,171
1981,Heavily indebted poor countries (HIPC),171
1981,Niger,171
1981,Angola,171
1981,Bangladesh,171
1981,Mozambique,171
1981,Cambodia,171
1981,Equatorial Guinea,171
1981,Central African Republic,171
1981,Sub-Saharan Africa (excluding high income),171
1981,Sub-Saharan Africa,171
1981,"Gambia, The",171
1981,Africa Western and Central,171
1981,Mali,171
1981,Sub-Saharan Africa (IDA & IBRD countries),171
1981,Sierra Leone,171
1981,Lao PDR,171
1981,Somalia,171
1981,Early-demographic dividend,171
1981,Chad,171
1981,Nigeria,171
1981,"Congo, Dem. Rep.",172
1981,Madagascar,172
1981,IDA & IBRD total,173
1981,Haiti,174
1981,IDA only,174
1981,Middle East & North Africa (IDA & IBRD countries),175
1981,Djibouti,176
1981,Middle income,177
1981,Myanmar,179
