Year,Country,Quality_of_Life_Rank
1981,Netherlands,1
1981,Norway,2
1981,Greece,3
1981,France,4
1981,Australia,5
1981,Switzerland,6
1981,Bermuda,7
1981,Denmark,7
1981,Israel,8
1981,Puerto Rico,9
1981,Spain,10
1981,Belgium,11
1981,Euro area,11
1981,Ireland,12
1981,Canada,13
1981,Channel Islands,14
1981,Finland,15
1981,United States,16
1981,Austria,17
1981,United Kingdom,18
1981,Singapore,20
1981,Costa Rica,21
1981,Japan,22
1981,OECD members,23
1981,Sweden,24
1981,Italy,25
1981,Gibraltar,26
1981,Post-demographic dividend,27
1981,Luxembourg,28
1981,Slovenia,29
1981,Ukraine,30
1981,Iceland,31
1981,Dominica,33
1981,Barbados,34
1981,North America,35
1981,High income,36
1981,Germany,37
1981,Poland,38
1981,European Union,38
1981,Portugal,39
1981,Bulgaria,40
1981,Uruguay,41
1981,Aruba,42
1981,Sint Maarten (Dutch part),43
1981,Cuba,44
1981,Cyprus,45
1981,Europe & Central Asia (IDA & IBRD countries),46
1981,New Zealand,47
1981,Montenegro,49
1981,Hungary,50
1981,Lithuania,51
1981,North Macedonia,52
1981,Romania,52
1981,Moldova,53
1981,Seychelles,54
1981,Malta,55
1981,Virgin Islands (U.S.),56
1981,Antigua and Barbuda,57
1981,Panama,58
1981,St. Martin (French part),59
1981,Georgia,60
1981,Kuwait,61
1981,Croatia,61
1981,Curacao,62
1981,Latvia,63
1981,Serbia,64
1981,Qatar,65
1981,Trinidad and Tobago,66
1981,Central Europe and the Baltics,67
1981,Kosovo,68
1981,Europe & Central Asia (excluding high income),70
1981,Bahrain,72
1981,Sri Lanka,73
1981,Europe & Central Asia,74
1981,Chile,75
1981,Guam,76
1981,Belarus,77
1981,French Polynesia,78
1981,Caribbean small states,79
1981,St. Kitts and Nevis,79
1981,Thailand,80
1981,Grenada,81
1981,Albania,82
1981,Colombia,83
1981,"Bahamas, The",85
1981,British Virgin Islands,86
1981,East Asia & Pacific,87
1981,St. Vincent and the Grenadines,88
1981,Isle of Man,89
1981,Armenia,90
1981,Estonia,91
1981,China,92
1981,Libya,93
1981,Mexico,94
1981,Tonga,95
1981,Argentina,95
1981,Samoa,96
1981,Paraguay,97
1981,Saudi Arabia,98
1981,Turks and Caicos Islands,99
1981,"Korea, Dem. People's Rep.",100
1981,Kazakhstan,101
1981,St. Lucia,102
1981,Late-demographic dividend,103
1981,United Arab Emirates,104
1981,Jordan,105
1981,Jamaica,106
1981,Upper middle income,107
1981,Ecuador,108
1981,East Asia & Pacific (excluding high income),109
1981,New Caledonia,110
1981,Mauritius,112
1981,Kyrgyz Republic,113
1981,"Micronesia, Fed. Sts.",114
1981,Brunei Darussalam,115
1981,East Asia & Pacific (IDA & IBRD countries),116
