Year,Country,Institutional_Rank
1989,Japan,1
1989,Channel Islands,2
1989,Switzerland,3
1989,Spain,4
1989,Iceland,5
1989,Netherlands,6
1989,Australia,7
1989,Gibraltar,8
1989,Sweden,9
1989,Singapore,10
1989,Faroe Islands,12
1989,Lithuania,13
1989,East Asia & Pacific (excluding high income),14
1989,Caribbean small states,14
1989,Jordan,15
1989,Cyprus,16
1989,Latin America & Caribbean,17
1989,East Asia & Pacific,18
1989,Libya,19
1989,Latin America & the Caribbean (IDA & IBRD countries),20
1989,East Asia & Pacific (IDA & IBRD countries),21
1989,St. Kitts and Nevis,22
1989,Dominican Republic,23
1989,Suriname,24
1989,North America,25
1989,Mongolia,26
1989,Pakistan,28
1989,Germany,29
1989,British Virgin Islands,30
1989,India,31
1989,Cuba,32
1989,Portugal,33
1989,Brazil,34
1989,Serbia,35
1989,Argentina,36
1989,Slovenia,37
1989,Euro area,38
1989,Qatar,39
1989,Finland,40
1989,Kuwait,41
1989,Mauritius,42
1989,Latvia,43
1989,Ireland,44
1989,Bahrain,45
1989,France,46
1989,New Caledonia,47
1989,Italy,48
1989,Montenegro,50
1989,Bermuda,51
1989,New Zealand,52
1989,Romania,53
1989,High income,54
1989,Lebanon,55
1989,Barbados,56
1989,French Polynesia,57
1989,Austria,58
1989,OECD members,59
1989,Aruba,60
1989,Norway,61
1989,Brunei Darussalam,62
1989,Guam,63
1989,Belarus,64
1989,Europe & Central Asia (IDA & IBRD countries),65
1989,Israel,67
1989,Isle of Man,68
1989,Virgin Islands (U.S.),69
1989,Panama,70
1989,Sint Maarten (Dutch part),71
1989,Europe & Central Asia,72
1989,Turks and Caicos Islands,73
1989,Luxembourg,74
1989,Puerto Rico,75
1989,Nicaragua,76
1989,Post-demographic dividend,77
1989,Middle East & North Africa,78
1989,Tonga,79
1989,Armenia,80
1989,St. Martin (French part),81
1989,Indonesia,82
1989,St. Vincent and the Grenadines,83
1989,Curacao,84
1989,Thailand,85
1989,Croatia,88
1989,Nepal,89
1989,Poland,90
1989,Albania,91
1989,United Kingdom,92
1989,Colombia,93
1989,Georgia,94
1989,Algeria,95
1989,Turkmenistan,96
1989,Ecuador,97
1989,Belgium,98
1989,Antigua and Barbuda,99
1989,Kyrgyz Republic,100
1989,Cabo Verde,102
1989,"Korea, Dem. People's Rep.",103
1989,Oman,104
1989,Europe & Central Asia (excluding high income),105
1989,Tunisia,107
1989,Azerbaijan,108
1989,United States,109
1989,Malaysia,110
1989,Middle East & North Africa (excluding high income),111
1989,Grenada,112
1989,"Micronesia, Fed. Sts.",113
1989,Paraguay,114
1989,Upper middle income,115
1989,Malta,116
1989,Other small states,117
1989,IBRD only,118
1989,Uruguay,119
1989,Bulgaria,120
1989,Latin America & Caribbean (excluding high income),121
1989,Denmark,122
1989,Greenland,123
1989,Ukraine,124
1989,Sri Lanka,125
1989,Belize,126
1989,Jamaica,126
1989,Saudi Arabia,127
1989,Dominica,128
1989,Estonia,129
1989,European Union,131
1989,Small states,132
1989,Arab World,133
1989,Kosovo,134
1989,Peru,135
1989,Central Europe and the Baltics,136
1989,Trinidad and Tobago,137
1989,"Bahamas, The",138
1989,Fiji,139
1989,Greece,140
1989,Costa Rica,141
1989,Uzbekistan,142
1989,United Arab Emirates,144
1989,Middle East & North Africa (IDA & IBRD countries),146
1989,Eswatini,147
1989,Samoa,148
1989,Canada,149
1989,Kazakhstan,150
1989,World,151
1989,Kiribati,152
1989,Moldova,153
1989,Myanmar,155
1989,Senegal,155
1989,Bangladesh,155
1989,Benin,155
1989,Central African Republic,155
1989,Low income,155
1989,Least developed countries: UN classification,155
1989,Sierra Leone,155
1989,Mali,155
1989,Heavily indebted poor countries (HIPC),155
1989,Africa Eastern and Southern,155
1989,Madagascar,155
1989,Angola,155
1989,Chad,155
1989,Somalia,155
1989,Niger,155
1989,Mozambique,155
1989,Tanzania,155
1989,Uganda,155
1989,Timor-Leste,155
1989,Rwanda,155
1989,Burundi,155
1989,Burkina Faso,155
1989,Ghana,155
1989,Malawi,155
1989,Pre-demographic dividend,155
1989,South Sudan,155
1989,Liberia,155
1989,Sub-Saharan Africa (IDA & IBRD countries),155
1989,Afghanistan,155
1989,Sudan,155
1989,Sub-Saharan Africa (excluding high income),155
1989,Africa Western and Central,155
1989,Sub-Saharan Africa,155
1989,Pacific island small states,156
1989,Bolivia,158
1989,IDA blend,159
1989,IDA total,160
1989,"Yemen, Rep.",161
1989,Cambodia,162
1989,Equatorial Guinea,162
1989,South Africa,163
1989,"Congo, Rep.",164
1989,Late-demographic dividend,165
1989,Morocco,166
1989,Haiti,167
1989,Nigeria,168
1989,Iraq,169
1989,"Gambia, The",169
1989,Lao PDR,169
1989,Cameroon,170
1989,Mexico,171
1989,Papua New Guinea,172
1989,Guinea,173
1989,Zambia,173
1989,Comoros,174
1989,Hungary,175
1989,Lower middle income,176
1989,Guinea-Bissau,177
1989,St. Lucia,178
1989,"Congo, Dem. Rep.",179
1989,IDA & IBRD total,180
1989,IDA only,181
1989,Bhutan,181
1989,Seychelles,182
1989,South Asia,183
1989,South Asia (IDA & IBRD),183
1989,Ethiopia,184
1989,North Macedonia,185
1989,Eritrea,186
1989,Djibouti,186
1989,Mauritania,186
1989,Tuvalu,187
1989,Marshall Islands,188
1989,Lesotho,189
1989,China,190
1989,Nauru,191
1989,Fragile and conflict affected situations,192
1989,Sao Tome and Principe,193
1989,Kenya,194
1989,Philippines,195
1989,El Salvador,196
1989,Gabon,197
1989,Vanuatu,198
1989,Namibia,199
1989,Botswana,200
1989,Maldives,201
1989,Early-demographic dividend,202
1989,Guatemala,202
1989,Zimbabwe,203
1989,Tajikistan,204
1989,Togo,205
1989,Solomon Islands,206
1989,Guyana,207
1989,Honduras,208
1989,Low & middle income,209
1989,Middle income,210
1989,Chile,211
