Year,Country,Quality_of_Life_Rank
1989,Spain,1
1989,Netherlands,2
1989,Iceland,3
1989,Channel Islands,4
1989,Japan,5
1989,Sweden,6
1989,Switzerland,7
1989,Montenegro,8
1989,France,9
1989,Greece,10
1989,Faroe Islands,10
1989,Australia,11
1989,North America,12
1989,Belgium,13
1989,Euro area,14
1989,European Union,15
1989,Austria,16
1989,Bermuda,17
1989,Gibraltar,18
1989,Canada,19
1989,Finland,20
1989,Post-demographic dividend,21
1989,Singapore,22
1989,Ireland,23
1989,Cuba,24
1989,British Virgin Islands,25
1989,Qatar,26
1989,French Polynesia,27
1989,Cyprus,28
1989,Portugal,29
1989,Israel,30
1989,United States,31
1989,Denmark,32
1989,Barbados,33
1989,United Kingdom,34
1989,Aruba,35
1989,Norway,36
1989,Uruguay,37
1989,Italy,38
1989,Puerto Rico,40
1989,Bahrain,41
1989,Slovenia,42
1989,Ukraine,43
1989,Lithuania,44
1989,High income,47
1989,Latvia,48
1989,Luxembourg,49
1989,Kuwait,50
1989,St. Martin (French part),51
1989,Argentina,52
1989,Hungary,53
1989,Poland,54
1989,Brunei Darussalam,56
1989,Sint Maarten (Dutch part),57
1989,Malta,58
1989,Europe & Central Asia,59
1989,Belarus,60
1989,Chile,61
1989,OECD members,62
1989,North Macedonia,63
1989,Romania,64
1989,Georgia,65
1989,New Caledonia,66
1989,Germany,67
1989,Curacao,68
1989,Virgin Islands (U.S.),69
1989,Serbia,70
1989,Guam,72
1989,Costa Rica,72
1989,Kosovo,73
1989,Panama,74
1989,New Zealand,75
1989,Europe & Central Asia (excluding high income),76
1989,Turkmenistan,77
1989,Albania,78
1989,Croatia,79
1989,Bulgaria,80
1989,Armenia,81
1989,Antigua and Barbuda,82
1989,Oman,83
1989,United Arab Emirates,86
1989,Trinidad and Tobago,87
1989,Moldova,88
1989,Kazakhstan,88
1989,Belize,89
1989,Jamaica,89
1989,Saudi Arabia,90
1989,"Bahamas, The",91
1989,Azerbaijan,92
1989,Lebanon,93
1989,St. Vincent and the Grenadines,94
1989,Kyrgyz Republic,96
