Year,Country,Sustainability_Rank
1989,Austria,1
1989,Finland,2
1989,Belgium,3
1989,Cyprus,4
1989,Sweden,5
1989,North America,6
1989,Euro area,7
1989,Faroe Islands,8
1989,France,9
1989,Germany,10
1989,Iceland,12
1989,Israel,13
1989,Netherlands,14
1989,Gibraltar,15
1989,Post-demographic dividend,16
1989,Portugal,17
1989,Australia,18
1989,European Union,19
1989,Channel Islands,20
1989,Bahrain,21
1989,Bermuda,22
1989,Slovenia,23
1989,Canada,24
1989,Greece,25
1989,Lebanon,26
1989,Latvia,27
1989,Serbia,28
1989,Costa Rica,29
1989,Kuwait,30
1989,Chile,31
1989,Montenegro,32
1989,United Kingdom,33
1989,Spain,34
1989,Japan,35
1989,Lithuania,36
1989,Aruba,37
1989,Ireland,38
1989,Cuba,39
1989,British Virgin Islands,40
1989,Oman,42
1989,Brunei Darussalam,43
1989,Barbados,44
1989,Sint Maarten (Dutch part),45
1989,St. Martin (French part),46
1989,High income,47
1989,Singapore,48
1989,New Zealand,49
1989,Puerto Rico,50
1989,Armenia,51
1989,French Polynesia,52
1989,Qatar,54
1989,Luxembourg,55
1989,Guam,56
1989,Europe & Central Asia,57
1989,North Macedonia,58
1989,Poland,59
1989,New Caledonia,60
1989,Uruguay,61
1989,Curacao,62
1989,Antigua and Barbuda,63
1989,Belarus,64
1989,Virgin Islands (U.S.),65
1989,Kazakhstan,67
1989,East Asia & Pacific (IDA & IBRD countries),68
1989,Denmark,69
1989,Kyrgyz Republic,70
1989,Kosovo,71
1989,Isle of Man,72
1989,Saudi Arabia,73
1989,Norway,74
1989,Suriname,75
1989,Ukraine,76
1989,Dominican Republic,77
1989,Jordan,78
1989,"Bahamas, The",79
1989,Central Europe and the Baltics,80
1989,China,81
1989,Mexico,82
1989,OECD members,83
1989,Romania,84
1989,Hungary,86
1989,Sri Lanka,88
1989,Argentina,89
1989,Europe & Central Asia (excluding high income),90
1989,Libya,91
1989,Trinidad and Tobago,92
1989,Tonga,94
1989,Jamaica,95
1989,Belize,95
1989,Latin America & the Caribbean (IDA & IBRD countries),96
1989,Dominica,97
1989,Grenada,98
1989,Latin America & Caribbean,99
1989,Bulgaria,100
1989,Europe & Central Asia (IDA & IBRD countries),101
1989,St. Kitts and Nevis,102
1989,Late-demographic dividend,103
1989,Malaysia,105
1989,Albania,106
1989,Estonia,107
1989,United States,108
1989,Moldova,109
1989,Malta,110
1989,St. Vincent and the Grenadines,111
1989,Turkmenistan,112
1989,Brazil,113
1989,St. Lucia,114
1989,Colombia,115
1989,Ecuador,116
1989,Mauritius,117
1989,East Asia & Pacific (excluding high income),118
