Year,Country,Ease_of_Living_Rank
2005,Canada,1
2005,Australia,1
2005,United States,2
2005,Switzerland,3
2005,Norway,4
2005,Finland,5
2005,Netherlands,6
2005,Denmark,7
2005,Ireland,8
2005,Germany,8
2005,Austria,9
2005,Sweden,10
2005,Belgium,11
2005,New Zealand,12
2005,United Kingdom,13
2005,Qatar,14
2005,Japan,15
2005,Iceland,16
2005,United Arab Emirates,17
2005,France,18
2005,Singapore,19
2005,Kuwait,22
2005,Spain,23
2005,Cyprus,24
2005,Italy,24
2005,Greece,25
2005,Israel,26
2005,Slovenia,28
2005,Bahrain,29
2005,Malta,30
2005,Estonia,31
2005,Portugal,33
2005,Hungary,34
2005,Lithuania,36
2005,Chile,37
2005,Poland,38
2005,Saudi Arabia,39
2005,Croatia,40
2005,Malaysia,41
2005,Latvia,42
2005,Uruguay,43
2005,Bulgaria,44
2005,Montenegro,45
2005,Mexico,46
2005,South Africa,47
2005,Panama,48
2005,Thailand,49
2005,Argentina,50
2005,Costa Rica,52
2005,Jordan,53
2005,Romania,54
2005,Lebanon,55
2005,Tunisia,56
2005,North Macedonia,58
2005,Serbia,59
2005,Kazakhstan,59
2005,Ukraine,60
2005,Armenia,62
2005,Ecuador,64
2005,Algeria,65
2005,Peru,66
2005,Belarus,67
2005,Colombia,68
2005,Brazil,69
2005,Georgia,70
2005,Mongolia,71
2005,China,72
2005,Moldova,73
2005,Philippines,75
2005,Azerbaijan,75
2005,Morocco,77
2005,Indonesia,79
2005,India,80
2005,Nicaragua,81
2005,Pakistan,82
2005,Nepal,83
