Year,Country,Economic_Rank
2005,Norway,1
2005,Switzerland,2
2005,Sweden,3
2005,Austria,4
2005,Canada,5
2005,Japan,6
2005,Ireland,7
2005,United States,8
2005,Finland,9
2005,United Arab Emirates,10
2005,Germany,11
2005,Belgium,12
2005,Netherlands,13
2005,Denmark,14
2005,Iceland,15
2005,Australia,16
2005,France,17
2005,United Kingdom,18
2005,New Zealand,19
2005,Qatar,20
2005,Italy,21
2005,Cyprus,22
2005,Kuwait,24
2005,Singapore,25
2005,Spain,27
2005,Greece,28
2005,Israel,29
2005,Lithuania,30
2005,Portugal,32
2005,Slovenia,33
2005,Bahrain,34
2005,Malta,35
2005,Saudi Arabia,36
2005,Hungary,37
2005,Chile,39
2005,Poland,40
2005,Estonia,41
2005,Croatia,42
2005,Malaysia,44
2005,Peru,45
2005,South Africa,46
2005,Montenegro,47
2005,Mexico,48
2005,North Macedonia,49
2005,Ecuador,50
2005,Thailand,51
2005,Panama,53
2005,Uruguay,54
2005,Tunisia,55
2005,Latvia,56
2005,Serbia,57
2005,Algeria,57
2005,Morocco,58
2005,Lebanon,59
2005,China,60
2005,Colombia,63
2005,Costa Rica,64
2005,Pakistan,66
2005,Brazil,67
2005,Jordan,67
2005,Bulgaria,68
2005,Ukraine,69
2005,Romania,69
2005,Armenia,70
2005,India,71
2005,Kazakhstan,72
2005,Philippines,73
2005,Azerbaijan,74
2005,Belarus,75
2005,Nicaragua,76
2005,Nepal,77
2005,Georgia,78
2005,Argentina,79
2005,Indonesia,81
2005,Mongolia,84
2005,Moldova,85
