Year,Country,Ease_of_Living_Rank
2018,Switzerland,1
2018,Norway,2
2018,Iceland,3
2018,Singapore,4
2018,Australia,5
2018,Denmark,7
2018,Netherlands,8
2018,Japan,9
2018,Canada,10
2018,New Zealand,11
2018,Ireland,12
2018,United States,13
2018,Finland,14
2018,Sweden,16
2018,Belgium,17
2018,Germany,18
2018,Austria,19
2018,United Kingdom,20
2018,Israel,21
2018,United Arab Emirates,22
2018,Qatar,23
2018,France,23
2018,Malta,25
2018,Estonia,26
2018,Italy,27
2018,Slovenia,28
2018,Bahrain,29
2018,Spain,30
2018,Cyprus,31
2018,Kuwait,33
2018,Portugal,34
2018,Chile,35
2018,Greece,36
2018,Lithuania,37
2018,Saudi Arabia,38
2018,Poland,40
2018,Latvia,41
2018,Uruguay,42
2018,China,43
2018,Malaysia,44
2018,Croatia,45
2018,Hungary,46
2018,Costa Rica,47
2018,Argentina,48
2018,Panama,49
2018,Thailand,51
2018,India,52
2018,Montenegro,53
2018,Romania,53
2018,Bulgaria,54
2018,Kazakhstan,56
2018,Jordan,57
2018,South Africa,58
2018,Nicaragua,59
2018,Serbia,60
2018,Georgia,61
2018,Lebanon,62
2018,Mongolia,63
2018,Belarus,64
2018,North Macedonia,65
2018,Brazil,66
2018,Ecuador,68
2018,Peru,69
2018,Armenia,70
2018,Mexico,71
2018,Indonesia,73
2018,Colombia,74
2018,Tunisia,75
2018,Moldova,77
2018,Azerbaijan,78
2018,Ukraine,79
2018,Algeria,80
2018,Philippines,81
2018,Morocco,82
2018,Nepal,84
2018,Pakistan,85
